time,workers,delay,tps
0.0,8,189.6,3142.0
1.0,8,186.4,3116.0
2.0,8,168.8,2985.0
3.0,8,166.22222222222223,2834.0
4.0,8,184.8,2770.0
5.0,8,217.6,3174.0
6.0,8,204.0,2811.0
7.0,8,168.8,2994.0
8.0,8,190.4,2939.0
9.0,8,167.2,2808.0
10.0,8,174.22222222222223,2490.0
11.0,8,132.8,2684.0
12.0,8,176.0,2564.0
13.0,8,172.8,2544.0
14.0,8,188.8,2512.0
15.0,8,134.4,2319.0
16.0,8,101.33333333333333,2300.0
17.0,8,144.0,2373.0
18.0,8,154.4,2721.0
19.0,8,184.8,3177.0
20.0,8,221.6,3391.0
21.0,8,181.6,3469.0
22.0,8,200.8,3245.0
23.0,8,180.8,3225.0
24.0,8,225.77777777777777,3171.0
25.0,8,1135.2,3406.0
26.0,8,3180.8,3524.0
27.0,8,5432.8,3547.0
28.0,8,7772.0,3587.0
29.0,8,9740.0,3611.0
30.0,8,11935.2,3717.0
31.0,8,14259.2,3627.0
32.0,8,16464.8,3552.0
33.0,8,18696.0,3662.0
34.0,8,21091.555555555555,3675.0
35.0,8,21988.0,1360.0
36.0,8,11640.8,2913.0
37.0,8,1015.2,3168.0
38.0,8,193.6,3107.0
39.0,8,219.2,3262.0
40.0,8,204.0,2696.0
41.0,8,244.44444444444446,3197.0
42.0,8,232.8,3156.0
43.0,8,235.2,3233.0
44.0,8,229.6,3143.0
45.0,8,242.4,3269.0
46.0,8,245.6,3135.0
47.0,8,180.8,3120.0
48.0,8,216.88888888888889,3315.0
49.0,8,224.0,3180.0
50.0,8,173.6,3287.0
51.0,8,233.6,3285.0
52.0,8,252.8,3116.0
53.0,8,230.4,3084.0
54.0,8,199.2,3154.0
55.0,8,227.2,3322.0
56.0,8,252.0,3202.0
57.0,8,220.44444444444446,3279.0
58.0,8,264.8,3169.0
59.0,8,233.6,3192.0
60.0,8,27.2,141.0
61.0,8,0.0,0.0
62.0,8,0.0,0.0
63.0,8,0.0,0.0
64.0,8,0.0,0.0
65.0,8,0.0,0.0
66.0,8,0.0,0.0
67.0,8,0.0,0.0
68.0,8,0.0,0.0
69.0,8,0.0,0.0
70.0,8,0.0,0.0
