time,workers,delay,tps
0.0,8,603.2,1935.0
1.0,8,1704.8,1984.0
2.0,8,2457.777777777778,2040.0
3.0,8,3871.2,2662.0
4.0,8,5537.777777777777,2764.0
5.0,8,7320.8,2687.0
6.0,8,9124.8,2802.0
7.0,8,11020.8,2667.0
8.0,8,12584.888888888889,2651.0
9.0,8,14241.6,2647.0
10.0,8,15942.4,2522.0
11.0,8,17621.6,2562.0
12.0,8,19175.11111111111,2558.0
13.0,8,20882.4,2521.0
14.0,8,22584.8,2349.0
15.0,8,23861.333333333332,2498.0
16.0,8,25267.2,2480.0
17.0,8,26865.6,2363.0
18.0,8,28245.6,2357.0
19.0,8,29628.444444444445,2280.0
20.0,8,30953.6,2299.0
21.0,8,32312.8,2306.0
22.0,8,33604.444444444445,2236.0
23.0,8,35066.4,2253.0
24.0,8,36575.2,2493.0
25.0,8,38954.4,2988.0
26.0,8,41350.22222222222,2893.0
27.0,8,44060.0,2978.0
28.0,8,46718.4,2858.0
29.0,8,49028.8,2836.0
30.0,8,51311.11111111111,2859.0
31.0,8,53711.2,2851.0
32.0,8,56272.8,2793.0
33.0,8,59063.2,2794.0
34.0,8,61589.333333333336,2532.0
35.0,8,63876.8,2730.0
36.0,8,66264.0,2616.0
37.0,8,68643.2,2156.0
38.0,8,70501.33333333333,2149.0
39.0,8,71868.0,1757.0
40.0,8,72868.8,1852.0
41.0,8,73767.11111111111,1672.0
42.0,8,74556.0,1569.0
43.0,8,75289.6,1433.0
44.0,8,76170.66666666667,1629.0
45.0,8,77120.0,1663.0
46.0,8,78221.6,1511.0
47.0,8,79193.6,1611.0
48.0,8,80131.55555555556,1393.0
49.0,8,80931.2,1589.0
50.0,8,81867.55555555556,1535.0
51.0,8,82785.6,1589.0
52.0,8,83696.0,1520.0
53.0,8,84552.0,1441.0
54.0,8,85342.4,1069.0
55.0,8,85930.66666666667,1216.0
56.0,8,86684.0,1521.0
57.0,8,87434.66666666667,1393.0
58.0,8,88102.4,1504.0
59.0,8,88967.11111111111,1412.0
60.0,8,89272.8,23.0
61.0,8,88608.8,0.0
62.0,8,87909.6,0.0
63.0,8,87256.8,0.0
64.0,8,86528.8,0.0
65.0,8,85863.2,0.0
66.0,8,85102.22222222222,0.0
67.0,8,84288.0,0.0
68.0,8,83580.8,0.0
69.0,8,82995.2,0.0
70.0,8,82660.0,0.0
