time,workers,delay,tps
0.0,8,166.66666666666666,1064.0
1.0,8,412.0,1193.0
2.0,8,662.8571428571429,1065.0
3.0,8,918.0,945.0
4.0,8,136.0,921.0
5.0,8,0.0,1056.0
6.0,8,0.0,1026.0
7.0,8,1.3333333333333333,1100.0
8.0,8,0.0,1020.0
9.0,8,1.3333333333333333,1066.0
10.0,8,1.3333333333333333,1106.0
11.0,8,0.0,1057.0
12.0,8,0.0,1072.0
13.0,8,0.0,1069.0
14.0,8,0.0,1014.0
15.0,8,0.0,946.0
16.0,8,0.0,1146.0
17.0,8,1.6,1063.0
18.0,8,0.0,1069.0
19.0,8,0.0,1110.0
20.0,8,0.0,1097.0
21.0,8,0.0,1183.0
22.0,8,0.0,1065.0
23.0,8,0.0,1056.0
24.0,8,78.4,1077.0
25.0,8,678.6666666666666,1239.0
26.0,8,1501.7142857142858,1197.0
27.0,8,2260.0,1111.0
28.0,8,2915.4285714285716,1218.0
29.0,8,3581.3333333333335,1177.0
30.0,8,4206.666666666667,1198.0
31.0,8,4906.285714285715,1202.0
32.0,8,5714.285714285715,1318.0
33.0,8,6468.0,1184.0
34.0,8,7094.666666666667,933.0
35.0,8,7406.857142857143,744.0
36.0,8,7781.333333333333,740.0
37.0,8,8074.285714285715,792.0
38.0,8,7900.0,833.0
39.0,8,6656.0,930.0
40.0,8,5586.666666666667,945.0
41.0,8,4618.0,921.0
42.0,8,3605.3333333333335,764.0
43.0,8,2680.0,772.0
44.0,8,1908.0,664.0
45.0,8,1285.3333333333333,781.0
46.0,8,257.6,830.0
47.0,8,0.0,1026.0
48.0,8,0.0,1008.0
49.0,8,4.8,1042.0
50.0,8,8.0,1109.0
51.0,8,2.6666666666666665,1065.0
52.0,8,0.0,1082.0
53.0,8,6.666666666666667,1113.0
54.0,8,1.3333333333333333,952.0
55.0,8,1.3333333333333333,1103.0
56.0,8,4.0,1090.0
57.0,8,1.6,1161.0
58.0,8,1.3333333333333333,1034.0
59.0,8,0.0,1058.0
60.0,8,0.0,91.0
61.0,8,0.0,0.0
62.0,8,0.0,0.0
63.0,8,0.0,0.0
64.0,8,0.0,0.0
65.0,8,0.0,0.0
66.0,8,0.0,0.0
67.0,8,0.0,0.0
68.0,8,0.0,0.0
69.0,8,0.0,0.0
70.0,8,0.0,0.0
