benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,mergeBatchSize,mergeDelta,mergeParallelism,readMode,writeMode,operation,rt,tps,ct,ar,rtP95
micro,10,1,true,1,RC,1,crdv-async,100,1000,1000,1,1,all,async,listGetAt,0.001766,37.998,304,0.000000,0.002319
micro,10,1,true,1,RC,1,crdv-async,100,1000,1000,1,1,all,async,mapRmv,0.001053,39.247,314,0.000000,0.001217
micro,10,1,true,1,RC,1,crdv-async,100,1000,1000,1,1,all,async,setAdd,0.001130,37.748,302,0.000000,0.001306
micro,10,1,true,1,RC,1,crdv-async,100,1000,1000,1,1,all,async,listAppend,0.002662,33.998,272,0.000000,0.003375
micro,10,1,true,1,RC,1,crdv-async,100,1000,1000,1,1,all,async,listGet,0.001816,34.373,275,0.000000,0.002312
micro,10,1,true,1,RC,1,crdv-async,100,1000,1000,1,1,all,async,mapValue,0.000351,35.873,287,0.000000,0.000423
micro,10,1,true,1,RC,1,crdv-async,100,1000,1000,1,1,all,async,mapAdd,0.001076,36.123,289,0.000000,0.001282
micro,10,1,true,1,RC,1,crdv-async,100,1000,1000,1,1,all,async,mapGet,0.001934,35.998,288,0.000000,0.002260
micro,10,1,true,1,RC,1,crdv-async,100,1000,1000,1,1,all,async,mapClear,NaN,0.000,0,NaN,NaN
micro,10,1,true,1,RC,1,crdv-async,100,1000,1000,1,1,all,async,setGet,0.001915,36.498,292,0.000000,0.002572
micro,10,1,true,1,RC,1,crdv-async,100,1000,1000,1,1,all,async,registerGet,0.000352,38.123,305,0.000000,0.000437
micro,10,1,true,1,RC,1,crdv-async,100,1000,1000,1,1,all,async,listPrepend,0.002695,32.873,263,0.000000,0.003469
micro,10,1,true,1,RC,1,crdv-async,100,1000,1000,1,1,all,async,setClear,NaN,0.000,0,NaN,NaN
micro,10,1,true,1,RC,1,crdv-async,100,1000,1000,1,1,all,async,counterGet,0.000347,36.498,292,0.000000,0.000436
micro,10,1,true,1,RC,1,crdv-async,100,1000,1000,1,1,all,async,listClear,NaN,0.000,0,NaN,NaN
micro,10,1,true,1,RC,1,crdv-async,100,1000,1000,1,1,all,async,setContains,0.000356,34.873,279,0.000000,0.000452
micro,10,1,true,1,RC,1,crdv-async,100,1000,1000,1,1,all,async,counterDec,0.001146,36.748,294,0.000000,0.001746
micro,10,1,true,1,RC,1,crdv-async,100,1000,1000,1,1,all,async,listAdd,0.002664,33.498,268,0.000000,0.003489
micro,10,1,true,1,RC,1,crdv-async,100,1000,1000,1,1,all,async,total,0.001356,725.453,5804,0.000000,0.002604
micro,10,1,true,1,RC,1,crdv-async,100,1000,1000,1,1,all,async,counterInc,0.001110,38.497,308,0.000000,0.001306
micro,10,1,true,1,RC,1,crdv-async,100,1000,1000,1,1,all,async,listRmv,0.002584,36.873,295,0.000000,0.003368
micro,10,1,true,1,RC,1,crdv-async,100,1000,1000,1,1,all,async,registerSet,0.000932,36.123,289,0.000000,0.001105
micro,10,1,true,1,RC,1,crdv-async,100,1000,1000,1,1,all,async,setRmv,0.001227,36.998,296,0.000000,0.001649
micro,10,1,true,1,RC,1,crdv-async,100,1000,1000,1,1,all,async,mapContains,0.000356,36.498,292,0.000000,0.000430
