benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,operation,rt,tps,ct,ar,rtP95
micro,10,1,true,1,RC,1,native,100,1000,listGet,0.000234,91.621,733,0.000000,0.000276
micro,10,1,true,1,RC,1,native,100,1000,listPrepend,0.000792,91.996,736,0.000000,0.000889
micro,10,1,true,1,RC,1,native,100,1000,setRmv,0.000771,91.746,734,0.000000,0.000858
micro,10,1,true,1,RC,1,native,100,1000,mapRmv,0.000763,88.121,705,0.000000,0.000839
micro,10,1,true,1,RC,1,native,100,1000,mapAdd,0.000783,87.871,703,0.000000,0.000874
micro,10,1,true,1,RC,1,native,100,1000,mapValue,0.000187,91.246,730,0.000000,0.000225
micro,10,1,true,1,RC,1,native,100,1000,listAdd,0.000835,88.121,705,0.000000,0.000927
micro,10,1,true,1,RC,1,native,100,1000,setClear,NaN,0.000,0,NaN,NaN
micro,10,1,true,1,RC,1,native,100,1000,setAdd,0.000788,91.371,731,0.000000,0.000873
micro,10,1,true,1,RC,1,native,100,1000,registerSet,0.000768,94.996,760,0.000000,0.000861
micro,10,1,true,1,RC,1,native,100,1000,listRmv,0.000789,91.121,729,0.000000,0.000879
micro,10,1,true,1,RC,1,native,100,1000,total,0.000527,1822.540,14581,0.000000,0.000849
micro,10,1,true,1,RC,1,native,100,1000,counterGet,0.000188,96.745,774,0.000000,0.000227
micro,10,1,true,1,RC,1,native,100,1000,setContains,0.000190,87.246,698,0.000000,0.000225
micro,10,1,true,1,RC,1,native,100,1000,counterInc,0.000771,95.996,768,0.000000,0.000863
micro,10,1,true,1,RC,1,native,100,1000,registerGet,0.000185,90.996,728,0.000000,0.000222
micro,10,1,true,1,RC,1,native,100,1000,listAppend,0.000799,93.621,749,0.000000,0.000880
micro,10,1,true,1,RC,1,native,100,1000,listGetAt,0.000195,90.496,724,0.000000,0.000230
micro,10,1,true,1,RC,1,native,100,1000,mapContains,0.000189,87.246,698,0.000000,0.000224
micro,10,1,true,1,RC,1,native,100,1000,mapGet,0.000281,88.746,710,0.000000,0.000329
micro,10,1,true,1,RC,1,native,100,1000,mapClear,NaN,0.000,0,NaN,NaN
micro,10,1,true,1,RC,1,native,100,1000,listClear,NaN,0.000,0,NaN,NaN
micro,10,1,true,1,RC,1,native,100,1000,setGet,0.000241,93.246,746,0.000000,0.000286
micro,10,1,true,1,RC,1,native,100,1000,counterDec,0.000770,89.996,720,0.000000,0.000856
