benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,operation,rt,tps,ct,ar,rtP95
micro,10,1,true,1,RC,1,pg_crdt,100,1000,registerGet,0.000568,13.990,112,0.000000,0.000659
micro,10,1,true,1,RC,1,pg_crdt,100,1000,counterInc,0.002015,15.364,123,0.000000,0.002318
micro,10,1,true,1,RC,1,pg_crdt,100,1000,setContains,0.002156,15.739,126,0.000000,0.002309
micro,10,1,true,1,RC,1,pg_crdt,100,1000,listGetAt,0.003195,14.615,117,0.000000,0.003406
micro,10,1,true,1,RC,1,pg_crdt,100,1000,counterGet,0.000586,15.364,123,0.000000,0.000756
micro,10,1,true,1,RC,1,pg_crdt,100,1000,mapValue,0.002484,13.491,108,0.000000,0.002673
micro,10,1,true,1,RC,1,pg_crdt,100,1000,mapContains,0.002487,15.864,127,0.000000,0.002652
micro,10,1,true,1,RC,1,pg_crdt,100,1000,listGet,0.003265,16.489,132,0.000000,0.003555
micro,10,1,true,1,RC,1,pg_crdt,100,1000,setGet,0.002300,15.489,124,0.000000,0.002581
micro,10,1,true,1,RC,1,pg_crdt,100,1000,mapGet,0.002890,17.113,137,0.000000,0.003111
micro,10,1,true,1,RC,1,pg_crdt,100,1000,mapRmv,0.005689,14.990,120,0.000000,0.006597
micro,10,1,true,1,RC,1,pg_crdt,100,1000,listPrepend,0.006945,13.366,107,0.000000,0.007382
micro,10,1,true,1,RC,1,pg_crdt,100,1000,counterDec,0.001963,17.238,138,0.000000,0.002278
micro,10,1,true,1,RC,1,pg_crdt,100,1000,total,0.003523,281.804,2256,0.000000,0.006990
micro,10,1,true,1,RC,1,pg_crdt,100,1000,mapAdd,0.005622,14.240,114,0.000000,0.006064
micro,10,1,true,1,RC,1,pg_crdt,100,1000,registerSet,0.001933,13.616,109,0.000000,0.002201
micro,10,1,true,1,RC,1,pg_crdt,100,1000,setRmv,0.004930,13.241,106,0.000000,0.005382
micro,10,1,true,1,RC,1,pg_crdt,100,1000,listAppend,0.006990,14.240,114,0.000000,0.007587
micro,10,1,true,1,RC,1,pg_crdt,100,1000,setAdd,0.005336,13.491,108,0.000000,0.005759
micro,10,1,true,1,RC,1,pg_crdt,100,1000,listAdd,0.007020,13.865,111,0.000000,0.007642
