benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,operation,rt,tps,ct,ar,rtP95
micro,10,1,true,1,n/a,1,riak,100,1000,counterDec,0.002172,40.999,328,0.000000,0.002559
micro,10,1,true,1,n/a,1,riak,100,1000,mapRmv,0.004264,40.624,325,0.000000,0.004997
micro,10,1,true,1,n/a,1,riak,100,1000,setGet,0.000748,36.874,295,0.000000,0.000975
micro,10,1,true,1,n/a,1,riak,100,1000,total,0.001842,535.987,4288,0.000000,0.004095
micro,10,1,true,1,n/a,1,riak,100,1000,mapAdd,0.003132,39.874,319,0.000000,0.003560
micro,10,1,true,1,n/a,1,riak,100,1000,counterGet,0.000641,40.624,325,0.000000,0.000838
micro,10,1,true,1,n/a,1,riak,100,1000,mapContains,0.001150,36.874,295,0.000000,0.001436
micro,10,1,true,1,n/a,1,riak,100,1000,setAdd,0.002465,37.249,298,0.000000,0.002864
micro,10,1,true,1,n/a,1,riak,100,1000,mapGet,0.001162,38.749,310,0.000000,0.001447
micro,10,1,true,1,n/a,1,riak,100,1000,registerSet,0.001986,37.249,298,0.000000,0.002245
micro,10,1,true,1,n/a,1,riak,100,1000,mapValue,0.001163,38.749,310,0.000000,0.001477
micro,10,1,true,1,n/a,1,riak,100,1000,registerGet,0.000550,36.374,291,0.000000,0.000668
micro,10,1,true,1,n/a,1,riak,100,1000,counterInc,0.002160,37.999,304,0.000000,0.002542
micro,10,1,true,1,n/a,1,riak,100,1000,setContains,0.000754,36.499,292,0.000000,0.000962
micro,10,1,true,1,n/a,1,riak,100,1000,setRmv,0.003187,37.249,298,0.000000,0.003651
