benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,mergeBatchSize,mergeDelta,mergeParallelism,readMode,writeMode,operation,rt,tps,ct,ar,rtP95
micro,10,1,true,1,RC,1,crdv-sync,100,1000,1000,1,1,local,sync,registerGet,0.000213,72.247,578,0.000000,0.000253
micro,10,1,true,1,RC,1,crdv-sync,100,1000,1000,1,1,local,sync,mapRmv,0.000994,72.747,582,0.000000,0.001129
micro,10,1,true,1,RC,1,crdv-sync,100,1000,1000,1,1,local,sync,listClear,NaN,0.000,0,NaN,NaN
micro,10,1,true,1,RC,1,crdv-sync,100,1000,1000,1,1,local,sync,setGet,0.000347,75.372,603,0.000000,0.000403
micro,10,1,true,1,RC,1,crdv-sync,100,1000,1000,1,1,local,sync,setClear,NaN,0.000,0,NaN,NaN
micro,10,1,true,1,RC,1,crdv-sync,100,1000,1000,1,1,local,sync,counterInc,0.000992,71.872,575,0.000000,0.001115
micro,10,1,true,1,RC,1,crdv-sync,100,1000,1000,1,1,local,sync,listAdd,0.001047,68.372,547,0.000000,0.001170
micro,10,1,true,1,RC,1,crdv-sync,100,1000,1000,1,1,local,sync,counterGet,0.000208,73.747,590,0.000000,0.000254
micro,10,1,true,1,RC,1,crdv-sync,100,1000,1000,1,1,local,sync,mapGet,0.000389,70.872,567,0.000000,0.000462
micro,10,1,true,1,RC,1,crdv-sync,100,1000,1000,1,1,local,sync,mapAdd,0.000997,71.872,575,0.000000,0.001121
micro,10,1,true,1,RC,1,crdv-sync,100,1000,1000,1,1,local,sync,setAdd,0.000997,69.497,556,0.000000,0.001131
micro,10,1,true,1,RC,1,crdv-sync,100,1000,1000,1,1,local,sync,listGet,0.000286,72.997,584,0.000000,0.000338
micro,10,1,true,1,RC,1,crdv-sync,100,1000,1000,1,1,local,sync,setContains,0.000217,75.997,608,0.000000,0.000260
micro,10,1,true,1,RC,1,crdv-sync,100,1000,1000,1,1,local,sync,mapClear,NaN,0.000,0,NaN,NaN
micro,10,1,true,1,RC,1,crdv-sync,100,1000,1000,1,1,local,sync,listPrepend,0.001016,74.372,595,0.000000,0.001143
micro,10,1,true,1,RC,1,crdv-sync,100,1000,1000,1,1,local,sync,mapContains,0.000217,68.747,550,0.000000,0.000265
micro,10,1,true,1,RC,1,crdv-sync,100,1000,1000,1,1,local,sync,listGetAt,0.000232,72.122,577,0.000000,0.000273
micro,10,1,true,1,RC,1,crdv-sync,100,1000,1000,1,1,local,sync,counterDec,0.000991,70.997,568,0.000000,0.001123
micro,10,1,true,1,RC,1,crdv-sync,100,1000,1000,1,1,local,sync,mapValue,0.000215,74.372,595,0.000000,0.000259
micro,10,1,true,1,RC,1,crdv-sync,100,1000,1000,1,1,local,sync,setRmv,0.000999,72.997,584,0.000000,0.001138
micro,10,1,true,1,RC,1,crdv-sync,100,1000,1000,1,1,local,sync,total,0.000667,1451.197,11610,0.000000,0.001100
micro,10,1,true,1,RC,1,crdv-sync,100,1000,1000,1,1,local,sync,listRmv,0.001032,71.122,569,0.000000,0.001157
micro,10,1,true,1,RC,1,crdv-sync,100,1000,1000,1,1,local,sync,registerSet,0.000972,73.872,591,0.000000,0.001151
micro,10,1,true,1,RC,1,crdv-sync,100,1000,1000,1,1,local,sync,listAppend,0.001018,76.997,616,0.000000,0.001137
