time,workers,delay,tps
0.0,32,896.0,7010.0
1.0,32,576.0,7280.0
2.0,32,624.0,7088.0
3.0,32,931.5555555555555,6552.0
4.0,32,1033.6,6489.0
5.0,32,684.8,6222.0
6.0,32,1011.2,5644.0
7.0,32,615.1111111111111,5500.0
8.0,32,944.0,5603.0
9.0,32,403.2,4987.0
10.0,32,428.8,4993.0
11.0,32,487.1111111111111,5157.0
12.0,32,508.8,4489.0
13.0,32,560.0,4698.0
14.0,32,444.8,4732.0
15.0,32,604.4444444444445,4552.0
16.0,32,582.4,4782.0
17.0,32,608.0,4483.0
18.0,32,416.0,4336.0
19.0,32,582.4,4344.0
20.0,32,524.8,4294.0
21.0,32,558.2222222222222,4051.0
22.0,32,236.8,4041.0
23.0,32,355.2,3642.0
24.0,32,558.2222222222222,4005.0
25.0,32,1536.0,3986.0
26.0,32,4067.2,4175.0
27.0,32,6976.0,4553.0
28.0,32,10040.888888888889,4611.0
29.0,32,12790.4,4850.0
30.0,32,15824.0,4306.0
31.0,32,18473.6,3993.0
32.0,32,21041.777777777777,3883.0
33.0,32,24112.0,4278.0
34.0,32,26944.0,3501.0
35.0,32,29184.0,3705.0
36.0,32,31558.4,4017.0
37.0,32,34105.6,3703.0
38.0,32,34979.555555555555,2627.0
39.0,32,31000.88888888889,2730.0
40.0,32,22553.6,2935.0
41.0,32,5045.333333333333,3174.0
42.0,32,2044.8,3695.0
43.0,32,697.6,3929.0
44.0,32,913.7777777777778,4205.0
45.0,32,857.6,3985.0
46.0,32,761.6,3669.0
47.0,32,739.5555555555555,4199.0
48.0,32,688.0,4162.0
49.0,32,828.4444444444445,3858.0
50.0,32,544.0,3186.0
51.0,32,828.8,3921.0
52.0,32,764.8,3528.0
53.0,32,842.6666666666666,3527.0
54.0,32,630.4,3579.0
55.0,32,921.6,3793.0
56.0,32,849.7777777777778,3614.0
57.0,32,1539.2,7656.0
58.0,32,1648.0,9809.0
59.0,32,1609.6,9592.0
60.0,32,291.55555555555554,779.0
61.0,32,0.0,0.0
62.0,32,0.0,0.0
63.0,32,0.0,0.0
64.0,32,0.0,0.0
65.0,32,0.0,0.0
66.0,32,0.0,0.0
67.0,32,0.0,0.0
68.0,32,0.0,0.0
69.0,32,0.0,0.0
70.0,32,0.0,0.0
71.0,32,0.0,0.0
