time,workers,delay,tps
0.0,4,104.0,858.0
1.0,4,268.8888888888889,873.0
2.0,4,396.0,857.0
3.0,4,578.8,1163.0
4.0,4,930.2222222222222,1352.0
5.0,4,1374.4,1271.0
6.0,4,1746.0,1089.0
7.0,4,1946.8,1175.0
8.0,4,2164.4444444444443,1210.0
9.0,4,2493.2,1168.0
10.0,4,2791.2,1320.0
11.0,4,3220.0,1229.0
12.0,4,3541.777777777778,1105.0
13.0,4,3805.6,1303.0
14.0,4,4087.2,1254.0
15.0,4,4454.8,1127.0
16.0,4,4708.8,1258.0
17.0,4,5073.777777777777,1116.0
18.0,4,5324.0,1088.0
19.0,4,5599.6,1116.0
20.0,4,5925.6,1111.0
21.0,4,6304.888888888889,1142.0
22.0,4,6610.0,1160.0
23.0,4,6944.8,1096.0
24.0,4,7316.8,1106.0
25.0,4,8012.444444444444,1067.0
26.0,4,8814.0,1128.0
27.0,4,9672.8,1115.0
28.0,4,10507.6,1137.0
29.0,4,11339.111111111111,1105.0
30.0,4,12174.8,1149.0
31.0,4,13021.6,1070.0
32.0,4,13813.6,1123.0
33.0,4,14565.333333333334,1100.0
34.0,4,15352.0,1097.0
35.0,4,16170.0,1076.0
36.0,4,16994.8,1098.0
37.0,4,17755.11111111111,1060.0
38.0,4,18126.4,1090.0
39.0,4,18417.2,1067.0
40.0,4,18658.4,1077.0
41.0,4,18948.0,1078.0
42.0,4,19222.4,1064.0
43.0,4,19536.8,1049.0
44.0,4,19820.0,1065.0
45.0,4,20146.222222222223,1039.0
46.0,4,20287.2,1040.0
47.0,4,20519.2,1068.0
48.0,4,20792.4,1016.0
49.0,4,21010.222222222223,1037.0
50.0,4,21255.6,1034.0
51.0,4,21568.0,1018.0
52.0,4,21916.8,1028.0
53.0,4,22250.666666666668,1025.0
54.0,4,22585.6,1003.0
55.0,4,22931.6,1059.0
56.0,4,23333.6,1005.0
57.0,4,23629.777777777777,983.0
58.0,4,23895.6,1010.0
59.0,4,24190.8,998.0
60.0,4,24259.6,19.0
61.0,4,23855.2,0.0
62.0,4,23360.0,0.0
63.0,4,22914.666666666668,0.0
64.0,4,22498.0,0.0
65.0,4,22087.2,0.0
66.0,4,21680.8,0.0
67.0,4,21269.6,0.0
68.0,4,20885.6,0.0
69.0,4,20461.6,0.0
70.0,4,20041.6,0.0
71.0,4,19755.0,0.0
