time,workers,delay,tps
0.0,2,0.0,508.0
1.0,2,0.0,514.0
2.0,2,0.0,495.0
3.0,2,0.0,524.0
4.0,2,0.0,519.0
5.0,2,0.0,513.0
6.0,2,0.0,519.0
7.0,2,0.0,513.0
8.0,2,0.0,521.0
9.0,2,0.0,518.0
10.0,2,0.0,512.0
11.0,2,0.0,518.0
12.0,2,0.0,528.0
13.0,2,0.0,513.0
14.0,2,0.0,519.0
15.0,2,0.0,513.0
16.0,2,0.0,507.0
17.0,2,0.0,516.0
18.0,2,0.0,516.0
19.0,2,0.0,521.0
20.0,2,0.0,522.0
21.0,2,0.0,517.0
22.0,2,0.0,514.0
23.0,2,0.0,512.0
24.0,2,68.66666666666667,538.0
25.0,2,328.25,540.0
26.0,2,589.7777777777778,534.0
27.0,2,829.0,545.0
28.0,2,1102.2222222222222,544.0
29.0,2,1379.5555555555557,536.0
30.0,2,1655.5,548.0
31.0,2,1909.3333333333333,541.0
32.0,2,2202.4444444444443,545.0
33.0,2,2483.0,541.0
34.0,2,2763.3333333333335,537.0
35.0,2,3050.75,544.0
36.0,2,3348.4444444444443,546.0
37.0,2,3573.0,323.0
38.0,2,2658.0,81.0
39.0,2,1106.0,172.0
40.0,2,0.0,499.0
41.0,2,0.0,506.0
42.0,2,0.0,514.0
43.0,2,0.0,506.0
44.0,2,0.0,505.0
45.0,2,0.0,519.0
46.0,2,0.0,505.0
47.0,2,0.0,527.0
48.0,2,0.0,507.0
49.0,2,0.0,514.0
50.0,2,0.0,517.0
51.0,2,0.0,516.0
52.0,2,0.0,512.0
53.0,2,0.0,512.0
54.0,2,0.0,504.0
55.0,2,0.0,523.0
56.0,2,0.0,509.0
57.0,2,0.0,513.0
58.0,2,0.25,509.0
59.0,2,0.25,510.0
60.0,2,0.0,12.0
61.0,2,0.0,0.0
62.0,2,0.0,0.0
63.0,2,0.0,0.0
64.0,2,0.0,0.0
65.0,2,0.0,0.0
66.0,2,0.0,0.0
67.0,2,0.0,0.0
68.0,2,0.0,0.0
69.0,2,0.0,0.0
