benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,mergeBatchSize,mergeDelta,mergeParallelism,readMode,writeMode,operation,rt,tps,ct,ar,rtP95
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,mapRmv,0.001448,36.395,1965,0.000000,0.001762
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,mapGet,0.001465,36.944,1995,0.000000,0.001718
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,listRmv,0.002480,36.092,1949,0.000000,0.002858
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,listAdd,0.002508,37.253,2012,0.000000,0.002921
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,registerSet,0.001317,36.018,1945,0.000000,0.001638
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,mapAdd,0.001448,37.333,2016,0.000000,0.001780
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,listGet,0.001396,37.518,2026,0.000000,0.001647
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,mapContains,0.000323,36.901,1993,0.000000,0.000555
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,registerGet,0.000327,36.142,1952,0.000000,0.000557
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,mapValue,0.000323,37.611,2031,0.000000,0.000560
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,setRmv,0.001447,36.487,1970,0.000000,0.001756
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,setGet,0.001443,36.074,1948,0.000000,0.001701
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,listAppend,0.002506,36.444,1968,0.000000,0.002916
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,listClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,setContains,0.000322,37.351,2017,0.000000,0.000557
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,counterDec,0.001422,36.938,1995,0.000000,0.001763
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,total,0.001358,734.344,39655,0.000000,0.002634
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,counterGet,0.000321,36.586,1976,0.000000,0.000557
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,setAdd,0.001446,36.605,1977,0.000000,0.001761
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,counterInc,0.001418,36.771,1986,0.000000,0.001763
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,listGetAt,0.001353,36.555,1974,0.000000,0.001606
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,listPrepend,0.002502,36.327,1962,0.000000,0.002874
