benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,operation,rt,tps,ct,ar,rtP95
micro,60,3,true,1,RC,1,electric,100,100000,mapContains,0.000217,101.998,5508,0.000000,0.000428
micro,60,3,true,1,RC,1,electric,100,100000,registerSet,0.001492,102.695,5546,0.000000,0.001832
micro,60,3,true,1,RC,1,electric,100,100000,setGet,0.000243,102.763,5549,0.000000,0.000456
micro,60,3,true,1,RC,1,electric,100,100000,mapValue,0.000217,103.177,5572,0.000000,0.000427
micro,60,3,true,1,RC,1,electric,100,100000,registerGet,0.000211,104.547,5646,0.000000,0.000425
micro,60,3,true,1,RC,1,electric,100,100000,setRmv,0.001564,103.880,5610,0.000000,0.001887
micro,60,3,true,1,RC,1,electric,100,100000,mapRmv,0.001565,103.707,5600,0.000000,0.001890
micro,60,3,true,1,RC,1,electric,100,100000,setAdd,0.001830,102.140,5516,0.000000,0.002171
micro,60,3,true,1,RC,1,electric,100,100000,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,1,RC,1,electric,100,100000,mapAdd,0.001834,103.454,5587,0.000000,0.002175
micro,60,3,true,1,RC,1,electric,100,100000,mapGet,0.000271,101.689,5491,0.000000,0.000485
micro,60,3,true,1,RC,1,electric,100,100000,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,1,RC,1,electric,100,100000,setContains,0.000218,103.096,5567,0.000000,0.000431
micro,60,3,true,1,RC,1,electric,100,100000,total,0.000879,1133.147,61191,0.000000,0.001973
