benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,operation,rt,tps,ct,ar,rtP95
micro,60,3,true,1,RC,1,native,100,100000,mapRmv,0.001240,63.888,3450,0.000000,0.001566
micro,60,3,true,1,RC,1,native,100,100000,listAdd,0.001272,63.092,3407,0.000000,0.001603
micro,60,3,true,1,RC,1,native,100,100000,mapValue,0.000209,63.221,3414,0.000000,0.000420
micro,60,3,true,1,RC,1,native,100,100000,setRmv,0.001233,63.234,3415,0.000000,0.001563
micro,60,3,true,1,RC,1,native,100,100000,counterGet,0.000210,63.221,3414,0.000000,0.000425
micro,60,3,true,1,RC,1,native,100,100000,listGet,0.000242,64.234,3469,0.000000,0.000457
micro,60,3,true,1,RC,1,native,100,100000,counterInc,0.001192,63.240,3415,0.000000,0.001517
micro,60,3,true,1,RC,1,native,100,100000,listRmv,0.001260,63.215,3414,0.000000,0.001597
micro,60,3,true,1,RC,1,native,100,100000,setGet,0.000237,63.104,3408,0.000000,0.000458
micro,60,3,true,1,RC,1,native,100,100000,listClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,1,RC,1,native,100,100000,counterDec,0.001190,63.906,3451,0.000000,0.001517
micro,60,3,true,1,RC,1,native,100,100000,setContains,0.000211,62.314,3365,0.000000,0.000428
micro,60,3,true,1,RC,1,native,100,100000,setAdd,0.001285,64.320,3473,0.000000,0.001623
micro,60,3,true,1,RC,1,native,100,100000,listAppend,0.001247,64.308,3473,0.000000,0.001581
micro,60,3,true,1,RC,1,native,100,100000,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,1,RC,1,native,100,100000,total,0.000784,1270.629,68615,0.000000,0.001519
micro,60,3,true,1,RC,1,native,100,100000,mapGet,0.000265,62.332,3366,0.000000,0.000483
micro,60,3,true,1,RC,1,native,100,100000,listPrepend,0.001248,64.203,3467,0.000000,0.001581
micro,60,3,true,1,RC,1,native,100,100000,listGetAt,0.000215,63.777,3444,0.000000,0.000428
micro,60,3,true,1,RC,1,native,100,100000,mapContains,0.000212,64.055,3459,0.000000,0.000426
micro,60,3,true,1,RC,1,native,100,100000,registerSet,0.001193,63.234,3415,0.000000,0.001513
micro,60,3,true,1,RC,1,native,100,100000,registerGet,0.000204,64.209,3467,0.000000,0.000422
micro,60,3,true,1,RC,1,native,100,100000,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,1,RC,1,native,100,100000,mapAdd,0.001286,63.524,3430,0.000000,0.001616
