benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,operation,rt,tps,ct,ar,rtP95
micro,60,3,true,1,RC,1,pg_crdt,100,100000,total,0.003087,323.543,17472,0.000000,0.005864
micro,60,3,true,1,RC,1,pg_crdt,100,100000,counterGet,0.000611,17.432,941,0.000000,0.000798
micro,60,3,true,1,RC,1,pg_crdt,100,100000,listAppend,0.005707,17.031,920,0.000000,0.006170
micro,60,3,true,1,RC,1,pg_crdt,100,100000,counterInc,0.002414,17.172,927,0.000000,0.002842
micro,60,3,true,1,RC,1,pg_crdt,100,100000,setAdd,0.004627,16.956,916,0.000000,0.005064
micro,60,3,true,1,RC,1,pg_crdt,100,100000,setGet,0.001757,16.938,915,0.000000,0.001947
micro,60,3,true,1,RC,1,pg_crdt,100,100000,mapAdd,0.004940,17.438,942,0.000000,0.005377
micro,60,3,true,1,RC,1,pg_crdt,100,100000,mapRmv,0.004922,17.086,923,0.000000,0.005402
micro,60,3,true,1,RC,1,pg_crdt,100,100000,registerGet,0.000616,17.216,930,0.000000,0.000805
micro,60,3,true,1,RC,1,pg_crdt,100,100000,listAdd,0.005722,16.975,917,0.000000,0.006157
micro,60,3,true,1,RC,1,pg_crdt,100,100000,listPrepend,0.005724,17.210,929,0.000000,0.006169
micro,60,3,true,1,RC,1,pg_crdt,100,100000,mapContains,0.001902,16.771,906,0.000000,0.002093
micro,60,3,true,1,RC,1,pg_crdt,100,100000,listGetAt,0.002299,16.586,896,0.000000,0.002485
micro,60,3,true,1,RC,1,pg_crdt,100,100000,mapValue,0.001903,16.506,891,0.000000,0.002100
micro,60,3,true,1,RC,1,pg_crdt,100,100000,registerSet,0.002421,17.419,941,0.000000,0.002864
micro,60,3,true,1,RC,1,pg_crdt,100,100000,setContains,0.001676,17.345,937,0.000000,0.001867
micro,60,3,true,1,RC,1,pg_crdt,100,100000,setRmv,0.004453,16.463,889,0.000000,0.004897
micro,60,3,true,1,RC,1,pg_crdt,100,100000,listGet,0.002364,17.290,934,0.000000,0.002553
micro,60,3,true,1,RC,1,pg_crdt,100,100000,mapGet,0.002194,16.679,901,0.000000,0.002442
micro,60,3,true,1,RC,1,pg_crdt,100,100000,counterDec,0.002416,17.031,920,0.000000,0.002860
