benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,operation,rt,tps,ct,ar,rtP95
micro,60,3,true,1,n/a,1,riak,100,100000,mapRmv,0.004989,31.567,1705,0.000000,0.005652
micro,60,3,true,1,n/a,1,riak,100,100000,setContains,0.000578,32.030,1730,0.000000,0.000783
micro,60,3,true,1,n/a,1,riak,100,100000,registerGet,0.000418,31.938,1725,0.000000,0.000612
micro,60,3,true,1,n/a,1,riak,100,100000,mapGet,0.000867,31.296,1690,0.000000,0.001094
micro,60,3,true,1,n/a,1,riak,100,100000,mapContains,0.000852,31.641,1709,0.000000,0.001069
micro,60,3,true,1,n/a,1,riak,100,100000,counterGet,0.000491,30.475,1646,0.000000,0.000692
micro,60,3,true,1,n/a,1,riak,100,100000,total,0.002280,437.855,23645,0.000000,0.004889
micro,60,3,true,1,n/a,1,riak,100,100000,registerSet,0.003338,31.197,1685,0.000000,0.003915
micro,60,3,true,1,n/a,1,riak,100,100000,mapAdd,0.004152,31.012,1675,0.000000,0.004725
micro,60,3,true,1,n/a,1,riak,100,100000,setGet,0.000583,31.283,1689,0.000000,0.000792
micro,60,3,true,1,n/a,1,riak,100,100000,setRmv,0.004279,31.092,1679,0.000000,0.004944
micro,60,3,true,1,n/a,1,riak,100,100000,counterDec,0.003456,31.012,1675,0.000000,0.004016
micro,60,3,true,1,n/a,1,riak,100,100000,setAdd,0.003690,31.018,1675,0.000000,0.004272
micro,60,3,true,1,n/a,1,riak,100,100000,mapValue,0.000847,30.907,1669,0.000000,0.001059
micro,60,3,true,1,n/a,1,riak,100,100000,counterInc,0.003439,31.388,1695,0.000000,0.003988
