benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,mergeBatchSize,mergeDelta,mergeParallelism,readMode,writeMode,operation,rt,tps,ct,ar,rtP95
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,listClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,setContains,0.000226,55.975,3023,0.000000,0.000447
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,mapRmv,0.001455,55.882,3018,0.000000,0.001806
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,total,0.000894,1114.819,60201,0.000000,0.001724
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,mapContains,0.000224,55.882,3018,0.000000,0.000451
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,counterGet,0.000218,55.635,3004,0.000000,0.000438
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,listAppend,0.001413,55.684,3007,0.000000,0.001767
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,mapAdd,0.001459,55.703,3008,0.000000,0.001809
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,counterInc,0.001356,55.586,3002,0.000000,0.001704
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,setAdd,0.001454,55.388,2991,0.000000,0.001801
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,registerGet,0.000222,55.104,2976,0.000000,0.000443
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,listAdd,0.001448,56.110,3030,0.000000,0.001799
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,setRmv,0.001457,55.314,2987,0.000000,0.001802
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,registerSet,0.001347,55.654,3005,0.000000,0.001695
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,listGet,0.000274,56.172,3033,0.000000,0.000500
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,listPrepend,0.001414,54.493,2943,0.000000,0.001763
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,counterDec,0.001360,54.987,2969,0.000000,0.001704
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,setGet,0.000318,55.833,3015,0.000000,0.000543
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,listRmv,0.001478,56.141,3032,0.000000,0.001825
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,listGetAt,0.000238,55.981,3023,0.000000,0.000464
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,mapGet,0.000334,55.425,2993,0.000000,0.000554
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,mapValue,0.000225,57.870,3125,0.000000,0.000451
