benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,operation,rt,tps,ct,ar,rtP95
micro,60,3,true,128,n/a,6,riak,1,1000000,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,n/a,6,riak,1,1000000,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,n/a,6,riak,1,1000000,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,n/a,6,riak,1,1000000,mapValue,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,n/a,6,riak,1,1000000,mapAdd,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,n/a,6,riak,1,1000000,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,n/a,6,riak,1,1000000,total,0.006275,20371.445,1100252,0.000000,0.034064
micro,60,3,true,128,n/a,6,riak,1,1000000,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,n/a,6,riak,1,1000000,write,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,n/a,6,riak,1,1000000,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,n/a,6,riak,1,1000000,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,n/a,6,riak,1,1000000,read,0.006275,20371.445,1100252,0.000000,0.034064
micro,60,3,true,128,n/a,6,riak,1,1000000,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,n/a,6,riak,1,1000000,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,n/a,6,riak,1,1000000,counterInc,NaN,0.000,0,NaN,NaN
