benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,mergeBatchSize,mergeDelta,mergeParallelism,readMode,writeMode,operation,rt,tps,ct,ar,rtP95
micro,60,3,true,128,RC,2,crdv-sync-ring,1,1000000,1000,0.05,1,local,sync,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,2,crdv-sync-ring,1,1000000,1000,0.05,1,local,sync,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,2,crdv-sync-ring,1,1000000,1000,0.05,1,local,sync,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,2,crdv-sync-ring,1,1000000,1000,0.05,1,local,sync,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,2,crdv-sync-ring,1,1000000,1000,0.05,1,local,sync,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,2,crdv-sync-ring,1,1000000,1000,0.05,1,local,sync,listClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,2,crdv-sync-ring,1,1000000,1000,0.05,1,local,sync,mapAdd,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,2,crdv-sync-ring,1,1000000,1000,0.05,1,local,sync,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,2,crdv-sync-ring,1,1000000,1000,0.05,1,local,sync,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,2,crdv-sync-ring,1,1000000,1000,0.05,1,local,sync,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,2,crdv-sync-ring,1,1000000,1000,0.05,1,local,sync,listRmv,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,2,crdv-sync-ring,1,1000000,1000,0.05,1,local,sync,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,2,crdv-sync-ring,1,1000000,1000,0.05,1,local,sync,mapValue,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,2,crdv-sync-ring,1,1000000,1000,0.05,1,local,sync,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,2,crdv-sync-ring,1,1000000,1000,0.05,1,local,sync,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,2,crdv-sync-ring,1,1000000,1000,0.05,1,local,sync,listGet,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,2,crdv-sync-ring,1,1000000,1000,0.05,1,local,sync,read,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,2,crdv-sync-ring,1,1000000,1000,0.05,1,local,sync,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,2,crdv-sync-ring,1,1000000,1000,0.05,1,local,sync,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,2,crdv-sync-ring,1,1000000,1000,0.05,1,local,sync,write,0.032895,3889.607,210095,0.000000,0.093639
micro,60,3,true,128,RC,2,crdv-sync-ring,1,1000000,1000,0.05,1,local,sync,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,2,crdv-sync-ring,1,1000000,1000,0.05,1,local,sync,total,0.032895,3889.607,210095,0.000000,0.093639
micro,60,3,true,128,RC,2,crdv-sync-ring,1,1000000,1000,0.05,1,local,sync,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,true,128,RC,2,crdv-sync-ring,1,1000000,1000,0.05,1,local,sync,listAdd,NaN,0.000,0,NaN,NaN
