benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,operation,rt,tps,ct,ar,rtP95
micro,60,3,false,1,RC,1,electric,1,100000,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,1,100000,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,1,100000,mapAdd,0.001674,539.152,29115,0.000000,0.002084
micro,60,3,false,1,RC,1,electric,1,100000,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,1,100000,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,1,100000,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,1,100000,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,1,100000,mapValue,0.000176,535.961,28942,0.000000,0.000473
micro,60,3,false,1,RC,1,electric,1,100000,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,1,100000,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,1,100000,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,1,100000,total,0.000927,1075.113,58057,0.000000,0.001997
micro,60,3,false,1,RC,1,electric,1,100000,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,1,100000,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,2,50000,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,2,50000,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,2,50000,mapValue,0.000171,543.064,29326,0.000000,0.000471
micro,60,3,false,1,RC,1,electric,2,50000,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,2,50000,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,2,50000,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,2,50000,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,2,50000,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,2,50000,total,0.000918,1084.862,58584,0.000000,0.001991
micro,60,3,false,1,RC,1,electric,2,50000,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,2,50000,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,2,50000,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,2,50000,mapAdd,0.001668,541.798,29258,0.000000,0.002081
micro,60,3,false,1,RC,1,electric,2,50000,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,4,25000,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,4,25000,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,4,25000,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,4,25000,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,4,25000,mapValue,0.000172,541.211,29226,0.000000,0.000472
micro,60,3,false,1,RC,1,electric,4,25000,total,0.000921,1081.805,58419,0.000000,0.001991
micro,60,3,false,1,RC,1,electric,4,25000,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,4,25000,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,4,25000,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,4,25000,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,4,25000,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,4,25000,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,4,25000,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,4,25000,mapAdd,0.001670,540.594,29193,0.000000,0.002080
micro,60,3,false,1,RC,1,electric,8,12500,setRmv,NaN,0.000,0,NaN,NaN
