benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,operation,rt,tps,ct,ar,rtP95
micro,60,3,false,1,RC,1,native,1,100000,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,listRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,listGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,listClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,total,0.000698,1425.738,76991,0.000000,0.001511
micro,60,3,false,1,RC,1,native,1,100000,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,mapValue,0.000194,712.968,38501,0.000000,0.000478
micro,60,3,false,1,RC,1,native,1,100000,listAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,mapAdd,0.001203,712.770,38490,0.000000,0.001588
micro,60,3,false,1,RC,1,native,1,100000,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,2,50000,total,0.000699,1424.577,76928,0.000000,0.001513
micro,60,3,false,1,RC,1,native,2,50000,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,2,50000,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,2,50000,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,2,50000,mapValue,0.000193,713.446,38526,0.000000,0.000478
micro,60,3,false,1,RC,1,native,2,50000,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,2,50000,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,2,50000,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,2,50000,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,2,50000,listGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,2,50000,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,2,50000,listAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,2,50000,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,2,50000,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,2,50000,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,2,50000,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,2,50000,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,2,50000,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,2,50000,mapAdd,0.001207,711.131,38401,0.000000,0.001591
micro,60,3,false,1,RC,1,native,2,50000,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,2,50000,listClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,2,50000,listRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,2,50000,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,2,50000,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,4,25000,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,4,25000,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,4,25000,total,0.000698,1426.607,77038,0.000000,0.001518
micro,60,3,false,1,RC,1,native,4,25000,mapValue,0.000195,714.344,38575,0.000000,0.000480
micro,60,3,false,1,RC,1,native,4,25000,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,4,25000,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,4,25000,listGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,4,25000,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,4,25000,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,4,25000,listAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,4,25000,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,4,25000,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,4,25000,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,4,25000,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,4,25000,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,4,25000,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,4,25000,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,4,25000,mapAdd,0.001202,712.264,38463,0.000000,0.001601
micro,60,3,false,1,RC,1,native,4,25000,listClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,4,25000,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,4,25000,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,4,25000,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,4,25000,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,4,25000,listRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,8,12500,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,8,12500,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,8,12500,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,8,12500,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,8,12500,total,0.000704,1414.900,76405,0.000000,0.001514
micro,60,3,false,1,RC,1,native,8,12500,mapAdd,0.001204,707.422,38201,0.000000,0.001591
micro,60,3,false,1,RC,1,native,8,12500,listClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,8,12500,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,8,12500,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,8,12500,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,8,12500,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,8,12500,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,8,12500,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,8,12500,listGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,8,12500,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,8,12500,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,8,12500,listAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,8,12500,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,8,12500,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,8,12500,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,8,12500,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,8,12500,mapValue,0.000203,707.478,38204,0.000000,0.000481
micro,60,3,false,1,RC,1,native,8,12500,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,8,12500,listRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,16,6250,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,16,6250,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,16,6250,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,16,6250,listAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,16,6250,total,0.000699,1424.497,76924,0.000000,0.001517
micro,60,3,false,1,RC,1,native,16,6250,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,16,6250,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,16,6250,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,16,6250,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,16,6250,listGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,16,6250,listRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,16,6250,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,16,6250,mapAdd,0.001202,712.221,38460,0.000000,0.001596
micro,60,3,false,1,RC,1,native,16,6250,mapValue,0.000196,712.276,38463,0.000000,0.000481
micro,60,3,false,1,RC,1,native,16,6250,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,16,6250,listAppend,NaN,0.000,0,NaN,NaN
