benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,operation,rt,tps,ct,ar,rtP95
micro,60,3,false,1,RC,1,pg_crdt,1,100000,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,listGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,total,0.001545,645.623,34864,0.000000,0.002884
micro,60,3,false,1,RC,1,pg_crdt,1,100000,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,mapAdd,0.002458,322.392,17409,0.000000,0.002969
micro,60,3,false,1,RC,1,pg_crdt,1,100000,mapValue,0.000635,323.231,17455,0.000000,0.000890
micro,60,3,false,1,RC,1,pg_crdt,1,100000,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,listAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,2,50000,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,2,50000,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,2,50000,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,2,50000,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,2,50000,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,2,50000,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,2,50000,listGet,NaN,0.000,0,NaN,NaN
