benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,operation,rt,tps,ct,ar,rtP95
micro,60,3,false,1,n/a,1,riak,1,100000,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,1,100000,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,1,100000,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,1,100000,total,0.002066,482.802,26072,0.000000,0.004101
micro,60,3,false,1,n/a,1,riak,1,100000,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,1,100000,mapAdd,0.003603,241.731,13054,0.000000,0.004289
micro,60,3,false,1,n/a,1,riak,1,100000,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,1,100000,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,1,100000,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,1,100000,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,1,100000,mapValue,0.000526,241.071,13018,0.000000,0.000784
micro,60,3,false,1,n/a,1,riak,1,100000,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,1,100000,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,1,100000,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,1,100000,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,2,50000,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,2,50000,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,2,50000,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,2,50000,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,2,50000,total,0.002071,481.780,26017,0.000000,0.004117
micro,60,3,false,1,n/a,1,riak,2,50000,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,2,50000,mapAdd,0.003628,239.483,12933,0.000000,0.004300
micro,60,3,false,1,n/a,1,riak,2,50000,mapValue,0.000532,242.297,13085,0.000000,0.000793
micro,60,3,false,1,n/a,1,riak,2,50000,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,2,50000,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,2,50000,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,2,50000,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,2,50000,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,2,50000,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,2,50000,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,4,25000,mapAdd,0.003656,237.798,12841,0.000000,0.004306
micro,60,3,false,1,n/a,1,riak,4,25000,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,4,25000,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,4,25000,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,4,25000,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,4,25000,registerGet,NaN,0.000,0,NaN,NaN
