benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,mergeBatchSize,mergeDelta,mergeParallelism,readMode,writeMode,operation,rt,tps,ct,ar,rtP95
micro,60,3,false,1,RC,1,crdv-sync,1,100000,1000,1,1,local,sync,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,1,100000,1000,1,1,local,sync,listAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,1,100000,1000,1,1,local,sync,listGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,1,100000,1000,1,1,local,sync,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,1,100000,1000,1,1,local,sync,mapAdd,0.001377,621.648,33569,0.000000,0.001796
micro,60,3,false,1,RC,1,crdv-sync,1,100000,1000,1,1,local,sync,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,1,100000,1000,1,1,local,sync,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,1,100000,1000,1,1,local,sync,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,1,100000,1000,1,1,local,sync,mapValue,0.000226,621.272,33549,0.000000,0.000508
micro,60,3,false,1,RC,1,crdv-sync,1,100000,1000,1,1,local,sync,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,1,100000,1000,1,1,local,sync,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,1,100000,1000,1,1,local,sync,listRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,1,100000,1000,1,1,local,sync,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,1,100000,1000,1,1,local,sync,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,1,100000,1000,1,1,local,sync,total,0.000802,1242.920,67118,0.000000,0.001714
micro,60,3,false,1,RC,1,crdv-sync,1,100000,1000,1,1,local,sync,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,1,100000,1000,1,1,local,sync,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,1,100000,1000,1,1,local,sync,listClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,1,100000,1000,1,1,local,sync,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,1,100000,1000,1,1,local,sync,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,1,100000,1000,1,1,local,sync,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,1,100000,1000,1,1,local,sync,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,1,100000,1000,1,1,local,sync,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,1,100000,1000,1,1,local,sync,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,2,50000,1000,1,1,local,sync,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,2,50000,1000,1,1,local,sync,listRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,2,50000,1000,1,1,local,sync,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,2,50000,1000,1,1,local,sync,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,2,50000,1000,1,1,local,sync,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,2,50000,1000,1,1,local,sync,mapAdd,0.001399,608.851,32878,0.000000,0.001803
micro,60,3,false,1,RC,1,crdv-sync,2,50000,1000,1,1,local,sync,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,2,50000,1000,1,1,local,sync,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,2,50000,1000,1,1,local,sync,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,2,50000,1000,1,1,local,sync,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,2,50000,1000,1,1,local,sync,mapValue,0.000237,608.678,32869,0.000000,0.000513
micro,60,3,false,1,RC,1,crdv-sync,2,50000,1000,1,1,local,sync,total,0.000818,1217.529,65747,0.000000,0.001726
micro,60,3,false,1,RC,1,crdv-sync,2,50000,1000,1,1,local,sync,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,2,50000,1000,1,1,local,sync,listGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,2,50000,1000,1,1,local,sync,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,2,50000,1000,1,1,local,sync,listClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,2,50000,1000,1,1,local,sync,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,2,50000,1000,1,1,local,sync,listAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,2,50000,1000,1,1,local,sync,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,2,50000,1000,1,1,local,sync,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,2,50000,1000,1,1,local,sync,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,2,50000,1000,1,1,local,sync,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,2,50000,1000,1,1,local,sync,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,2,50000,1000,1,1,local,sync,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,4,25000,1000,1,1,local,sync,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,4,25000,1000,1,1,local,sync,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,4,25000,1000,1,1,local,sync,listClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,4,25000,1000,1,1,local,sync,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,4,25000,1000,1,1,local,sync,total,0.000811,1228.813,66357,0.000000,0.001726
micro,60,3,false,1,RC,1,crdv-sync,4,25000,1000,1,1,local,sync,listAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,4,25000,1000,1,1,local,sync,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,4,25000,1000,1,1,local,sync,listGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,4,25000,1000,1,1,local,sync,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,4,25000,1000,1,1,local,sync,mapAdd,0.001388,616.474,33290,0.000000,0.001804
micro,60,3,false,1,RC,1,crdv-sync,4,25000,1000,1,1,local,sync,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,4,25000,1000,1,1,local,sync,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,4,25000,1000,1,1,local,sync,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,4,25000,1000,1,1,local,sync,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,4,25000,1000,1,1,local,sync,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,4,25000,1000,1,1,local,sync,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,4,25000,1000,1,1,local,sync,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,4,25000,1000,1,1,local,sync,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,4,25000,1000,1,1,local,sync,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,4,25000,1000,1,1,local,sync,mapValue,0.000230,612.339,33067,0.000000,0.000508
micro,60,3,false,1,RC,1,crdv-sync,4,25000,1000,1,1,local,sync,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,4,25000,1000,1,1,local,sync,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,4,25000,1000,1,1,local,sync,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,4,25000,1000,1,1,local,sync,listRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,8,12500,1000,1,1,local,sync,listRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,8,12500,1000,1,1,local,sync,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,8,12500,1000,1,1,local,sync,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,8,12500,1000,1,1,local,sync,mapValue,0.000232,608.603,32865,0.000000,0.000510
micro,60,3,false,1,RC,1,crdv-sync,8,12500,1000,1,1,local,sync,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,8,12500,1000,1,1,local,sync,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,8,12500,1000,1,1,local,sync,mapAdd,0.001399,611.029,32996,0.000000,0.001811
micro,60,3,false,1,RC,1,crdv-sync,8,12500,1000,1,1,local,sync,listAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,8,12500,1000,1,1,local,sync,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,8,12500,1000,1,1,local,sync,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,8,12500,1000,1,1,local,sync,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,8,12500,1000,1,1,local,sync,listClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,8,12500,1000,1,1,local,sync,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,8,12500,1000,1,1,local,sync,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,8,12500,1000,1,1,local,sync,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,8,12500,1000,1,1,local,sync,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,8,12500,1000,1,1,local,sync,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,8,12500,1000,1,1,local,sync,listGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,8,12500,1000,1,1,local,sync,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,8,12500,1000,1,1,local,sync,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,8,12500,1000,1,1,local,sync,mapContains,NaN,0.000,0,NaN,NaN
