benchmark,time,runs,noReload,workers,isolation,sites,engine,items,mergeBatchSize,mergeDelta,mergeParallelism,nestingLevel,readMode,writeMode,execP95,execTime,planP95,planSize,planTime,totalP95,totalTime,rt,tps,ct,ar,rtP95
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,1,local,sync,0.000048,0.000024,0.000127,12,0.000085,0.000123,0.000109,0.000114,2690.067,145264,0.499704,0.000382
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,2,local,sync,0.000074,0.000053,0.000244,30,0.000199,0.000233,0.000252,0.000174,1495.663,80766,0.501042,0.000447
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,3,local,sync,0.000094,0.000076,0.000355,48,0.000307,0.000338,0.000383,0.000209,1106.495,59751,0.500157,0.000477
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,4,local,sync,0.000119,0.000098,0.000461,66,0.000415,0.000443,0.000513,0.000236,903.388,48783,0.498709,0.000493
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,5,local,sync,0.000138,0.000116,0.000583,84,0.000534,0.000563,0.000651,0.000241,783.094,42287,0.500251,0.000509
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,6,local,sync,0.000157,0.000136,0.000715,102,0.000666,0.000705,0.000802,0.000257,676.825,36549,0.498351,0.000533
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,7,local,sync,0.000174,0.000154,0.000867,120,0.000816,0.000858,0.000970,0.000303,566.698,30602,0.499306,0.000585
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,8,local,sync,0.000195,0.000175,0.001036,138,0.000988,0.001025,0.001163,0.000323,496.657,26820,0.500490,0.000617
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,9,local,sync,0.000216,0.000195,0.001242,156,0.001178,0.001224,0.001374,0.000343,435.856,23537,0.500178,0.000625
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,10,local,sync,0.000245,0.000221,0.001454,174,0.001387,0.001439,0.001607,0.000368,384.921,20786,0.500469,0.000656
