nestingLevel,type,time,p95
1,plan,0.000085,0.000127
1,exec,0.000024,0.000048
1,plan + exec,0.000109,0.000123
1,real,0.000114,0.000382
2,plan,0.000199,0.000244
2,exec,0.000053,0.000074
2,plan + exec,0.000252,0.000233
2,real,0.000174,0.000447
3,plan,0.000307,0.000355
3,exec,0.000076,0.000094
3,plan + exec,0.000383,0.000338
3,real,0.000209,0.000477
4,plan,0.000415,0.000461
4,exec,0.000098,0.000119
4,plan + exec,0.000513,0.000443
4,real,0.000236,0.000493
5,plan,0.000534,0.000583
5,exec,0.000116,0.000138
5,plan + exec,0.000651,0.000563
5,real,0.000241,0.000509
6,plan,0.000666,0.000715
6,exec,0.000136,0.000157
6,plan + exec,0.000802,0.000705
6,real,0.000257,0.000533
7,plan,0.000816,0.000867
7,exec,0.000154,0.000174
7,plan + exec,0.000970,0.000858
7,real,0.000303,0.000585
8,plan,0.000988,0.001036
8,exec,0.000175,0.000195
8,plan + exec,0.001163,0.001025
8,real,0.000323,0.000617
9,plan,0.001178,0.001242
9,exec,0.000195,0.000216
9,plan + exec,0.001374,0.001224
9,real,0.000343,0.000625
10,plan,0.001387,0.001454
10,exec,0.000221,0.000245
10,plan + exec,0.001607,0.001439
10,real,0.000368,0.000656
