benchmark,time,runs,noReload,workers,isolation,sites,items,ops,schema,simulatedSites,operation,rt,tps,ct,ar,rtP95
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,1,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,1,write,0.001680,448.859,10773,0.000000,0.002913
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,1,currTime,0.000283,448.067,10754,0.000000,0.000613
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,1,readKey,0.000255,451.150,10828,0.000000,0.000604
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,1,total,0.000739,1348.077,32355,0.000000,0.002626
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,2,write,0.001824,389.201,9341,0.000000,0.002984
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,2,currTime,0.000380,393.451,9443,0.000000,0.000693
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,2,total,0.000848,1174.229,28182,0.000000,0.002728
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,2,readKey,0.000349,391.576,9398,0.000000,0.000685
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,2,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,4,total,0.000898,1109.480,26628,0.000000,0.002690
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,4,write,0.001779,366.243,8790,0.000000,0.002964
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,4,currTime,0.000489,370.993,8904,0.000000,0.000813
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,4,readKey,0.000438,372.243,8934,0.000000,0.000788
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,4,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,6,total,0.001169,852.830,20468,0.000000,0.002606
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,6,write,0.001732,283.999,6816,0.000000,0.002868
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,6,currTime,0.000587,283.832,6812,0.000000,0.000891
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,6,readKey,0.001188,284.999,6840,0.000000,0.001589
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,6,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,8,write,0.001804,254.071,6098,0.000000,0.003022
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,8,total,0.001328,750.840,18021,0.000000,0.002728
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,8,currTime,0.000709,250.905,6022,0.000000,0.001035
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,8,readKey,0.001468,245.864,5901,0.000000,0.001875
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,8,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,10,readKey,0.001927,217.041,5209,0.000000,0.002341
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,10,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,10,write,0.001883,209.875,5037,0.000000,0.003109
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,10,currTime,0.000826,223.208,5357,0.000000,0.001151
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,10,total,0.001535,650.124,15603,0.000000,0.002789
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,12,readKey,0.002437,186.368,4473,0.000000,0.002811
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,12,total,0.001781,560.439,13451,0.000000,0.002878
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,12,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,12,write,0.001967,182.160,4372,0.000000,0.003128
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,12,currTime,0.000967,191.910,4606,0.000000,0.001287
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,14,readKey,0.003795,142.207,3413,0.000000,0.004365
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,14,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,14,total,0.002369,421.496,10116,0.000000,0.004126
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,14,write,0.002166,140.999,3384,0.000000,0.003427
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,14,currTime,0.001109,138.291,3319,0.000000,0.001395
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,16,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,16,write,0.002132,135.038,3241,0.000000,0.003339
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,16,currTime,0.001208,134.663,3232,0.000000,0.001502
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,16,readKey,0.003987,137.413,3298,0.000000,0.004485
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,16,total,0.002452,407.115,9771,0.000000,0.004300
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,1,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,1,write,0.001713,466.841,11205,0.000000,0.002862
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,1,currTime,0.000198,472.299,11336,0.000000,0.000508
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,1,total,0.000703,1416.812,34006,0.000000,0.002624
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,1,readKey,0.000215,477.673,11465,0.000000,0.000531
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,2,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,2,write,0.001731,449.999,10800,0.000000,0.002808
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,2,total,0.000746,1335.705,32057,0.000000,0.002587
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,2,currTime,0.000219,444.582,10670,0.000000,0.000518
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,2,readKey,0.000272,441.124,10587,0.000000,0.000586
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,4,total,0.000727,1370.323,32888,0.000000,0.002503
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,4,readKey,0.000294,458.205,10997,0.000000,0.000608
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,4,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,4,write,0.001675,453.663,10888,0.000000,0.002731
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,4,currTime,0.000222,458.455,11003,0.000000,0.000514
