time,workers,delay,tps
0.0,8,74.4,4373.0
1.0,8,97.6,4460.0
2.0,8,120.8,4428.0
3.0,8,101.6,4387.0
4.0,8,99.2,4378.0
5.0,8,100.8,4304.0
6.0,8,106.4,4290.0
7.0,8,97.6,4245.0
8.0,8,127.2,4290.0
9.0,8,68.8,4229.0
10.0,8,77.6,4173.0
11.0,8,128.0,4076.0
12.0,8,83.2,4189.0
13.0,8,120.8,3959.0
14.0,8,116.8,3753.0
15.0,8,101.6,3718.0
16.0,8,76.0,3724.0
17.0,8,101.6,3610.0
18.0,8,100.8,3933.0
19.0,8,106.4,4459.0
20.0,8,130.4,4514.0
21.0,8,96.8,4453.0
22.0,8,115.55555555555556,4464.0
23.0,8,103.2,4466.0
24.0,8,118.4,4480.0
25.0,8,1390.4,4234.0
26.0,8,3934.4,4215.0
27.0,8,6391.2,4259.0
28.0,8,9084.8,4272.0
29.0,8,11742.4,4240.0
30.0,8,14435.2,4221.0
31.0,8,17282.4,4157.0
32.0,8,19957.333333333332,4233.0
33.0,8,22632.8,4365.0
34.0,8,25428.8,4243.0
35.0,8,28257.6,4214.0
36.0,8,31121.6,4239.0
37.0,8,34036.8,4186.0
38.0,8,27394.4,4432.0
39.0,8,533.6,4519.0
40.0,8,227.55555555555554,4564.0
41.0,8,267.2,4503.0
42.0,8,204.8,4430.0
43.0,8,238.4,4589.0
44.0,8,235.2,4517.0
45.0,8,276.8,4569.0
46.0,8,284.0,4489.0
47.0,8,292.8,4570.0
48.0,8,245.6,4563.0
49.0,8,283.2,4515.0
50.0,8,236.8,4487.0
51.0,8,264.8888888888889,4575.0
52.0,8,245.6,4474.0
53.0,8,308.8,4592.0
54.0,8,270.4,4478.0
55.0,8,291.2,4549.0
56.0,8,283.2,4501.0
57.0,8,260.0,4576.0
58.0,8,305.6,4504.0
59.0,8,312.0,4551.0
60.0,8,11.2,111.0
61.0,8,0.0,0.0
62.0,8,0.0,0.0
63.0,8,0.0,0.0
64.0,8,0.0,0.0
65.0,8,0.0,0.0
66.0,8,0.0,0.0
67.0,8,0.0,0.0
68.0,8,0.0,0.0
69.0,8,0.0,0.0
70.0,8,0.0,0.0
