time,workers,delay,tps
0.0,8,336.0,1523.0
1.0,8,884.4444444444445,1564.0
2.0,8,1169.7777777777778,1547.0
3.0,8,1730.4,2147.0
4.0,8,3554.4,3769.0
5.0,8,6021.333333333333,3605.0
6.0,8,8404.8,3432.0
7.0,8,10496.8,3371.0
8.0,8,12408.0,3307.0
9.0,8,14079.111111111111,3215.0
10.0,8,15631.2,3190.0
11.0,8,17124.8,3072.0
12.0,8,18760.8,2977.0
13.0,8,20221.333333333332,2989.0
14.0,8,21640.0,3041.0
15.0,8,23164.0,2903.0
16.0,8,24687.11111111111,2734.0
17.0,8,26164.8,2716.0
18.0,8,27561.6,2706.0
19.0,8,29225.6,2705.0
20.0,8,30668.444444444445,2606.0
21.0,8,32087.2,2590.0
22.0,8,33424.8,2576.0
23.0,8,34818.666666666664,2472.0
24.0,8,36266.4,2482.0
25.0,8,38377.6,2428.0
26.0,8,40588.0,2325.0
27.0,8,42644.444444444445,2382.0
28.0,8,44632.8,2270.0
29.0,8,46575.2,2290.0
30.0,8,48349.333333333336,2269.0
31.0,8,50145.6,2274.0
32.0,8,52088.0,2189.0
33.0,8,54044.8,2121.0
34.0,8,55958.22222222222,2149.0
35.0,8,57813.6,2125.0
36.0,8,59788.8,2097.0
37.0,8,61618.4,2104.0
38.0,8,62861.333333333336,2127.0
39.0,8,63925.6,2117.0
40.0,8,64920.8,2056.0
41.0,8,65841.6,2093.0
42.0,8,66721.77777777778,2095.0
43.0,8,67857.6,2053.0
44.0,8,68624.8,2036.0
45.0,8,69363.2,2029.0
46.0,8,70026.66666666667,2047.0
47.0,8,70744.8,2052.0
48.0,8,71588.8,2003.0
49.0,8,72364.8,1998.0
50.0,8,73035.55555555556,2006.0
51.0,8,73811.2,2002.0
52.0,8,74647.2,1991.0
53.0,8,75251.55555555556,1992.0
54.0,8,75936.0,1978.0
55.0,8,76716.8,1967.0
56.0,8,77336.0,1975.0
57.0,8,77988.44444444444,1968.0
58.0,8,78736.0,1961.0
59.0,8,79612.0,1932.0
60.0,8,79696.8,70.0
61.0,8,78688.0,0.0
62.0,8,77701.6,0.0
63.0,8,76782.22222222222,0.0
64.0,8,75723.2,0.0
65.0,8,74809.6,0.0
66.0,8,73906.4,0.0
67.0,8,72902.4,0.0
68.0,8,71964.8,0.0
69.0,8,70969.6,0.0
70.0,8,70348.0,0.0
