time,workers,delay,tps
0.0,8,1.1428571428571428,1678.0
1.0,8,0.0,1719.0
2.0,8,5.333333333333333,1663.0
3.0,8,4.0,1704.0
4.0,8,1.1428571428571428,1716.0
5.0,8,0.0,1729.0
6.0,8,0.0,1714.0
7.0,8,3.4285714285714284,1733.0
8.0,8,0.0,1743.0
9.0,8,0.0,1728.0
10.0,8,6.666666666666667,1723.0
11.0,8,2.2857142857142856,1731.0
12.0,8,9.142857142857142,1658.0
13.0,8,12.0,1791.0
14.0,8,2.0,1736.0
15.0,8,0.0,1729.0
16.0,8,0.0,1733.0
17.0,8,1.1428571428571428,1730.0
18.0,8,0.0,1734.0
19.0,8,0.0,1716.0
20.0,8,0.0,1733.0
21.0,8,0.0,1739.0
22.0,8,2.2857142857142856,1708.0
23.0,8,0.0,1743.0
24.0,8,191.0,1905.0
25.0,8,1303.0,2036.0
26.0,8,2546.0,2060.0
27.0,8,3935.0,2050.0
28.0,8,5009.142857142857,2062.0
29.0,8,6211.0,2028.0
30.0,8,7438.0,2051.0
31.0,8,8683.0,2040.0
32.0,8,9882.0,2050.0
33.0,8,11082.0,2049.0
34.0,8,12251.0,2053.0
35.0,8,13372.0,2085.0
36.0,8,14564.0,2052.0
37.0,8,15632.0,1425.0
38.0,8,14977.6,573.0
39.0,8,13262.4,568.0
40.0,8,11802.0,522.0
41.0,8,10430.4,577.0
42.0,8,9222.0,600.0
43.0,8,7888.0,560.0
44.0,8,6484.0,613.0
45.0,8,5787.2,1451.0
46.0,8,5464.0,1413.0
47.0,8,4992.0,1419.0
48.0,8,4342.0,1422.0
49.0,8,3714.0,1414.0
50.0,8,2886.4,1476.0
51.0,8,2204.8,1406.0
52.0,8,1858.0,1428.0
53.0,8,1486.0,1382.0
54.0,8,760.0,1443.0
55.0,8,180.8,1439.0
56.0,8,2.6666666666666665,1678.0
57.0,8,0.0,1706.0
58.0,8,5.333333333333333,1700.0
59.0,8,1.1428571428571428,1735.0
60.0,8,0.0,48.0
61.0,8,0.0,0.0
62.0,8,0.0,0.0
63.0,8,0.0,0.0
64.0,8,0.0,0.0
65.0,8,0.0,0.0
66.0,8,0.0,0.0
67.0,8,0.0,0.0
68.0,8,0.0,0.0
69.0,8,0.0,0.0
