benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,mergeBatchSize,mergeDelta,mergeParallelism,readMode,writeMode,operation,rt,tps,ct,ar,rtP95
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,mapGet,0.002457,26.432,1427,0.000000,0.003898
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,mapValue,0.000796,26.055,1407,0.000000,0.001418
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,counterDec,0.001989,25.716,1389,0.000000,0.003011
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,setGet,0.002432,26.277,1419,0.000000,0.003900
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,registerSet,0.001821,25.919,1400,0.000000,0.002554
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,listGet,0.001921,26.882,1452,0.000000,0.002653
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,listAdd,0.003130,25.919,1400,0.000000,0.004297
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,mapContains,0.000787,25.944,1401,0.000000,0.001417
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,setRmv,0.001846,26.006,1404,0.000000,0.002695
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,listPrepend,0.003117,25.987,1403,0.000000,0.004349
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,mapAdd,0.001858,25.845,1396,0.000000,0.002746
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,total,0.001913,521.916,28184,0.000000,0.003416
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,counterInc,0.001968,26.364,1424,0.000000,0.002930
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,counterGet,0.000784,26.074,1408,0.000000,0.001267
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,listAppend,0.003115,25.654,1385,0.000000,0.004310
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,listRmv,0.003105,26.086,1409,0.000000,0.004365
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,listGetAt,0.001868,26.345,1423,0.000000,0.002560
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,setContains,0.000804,26.129,1411,0.000000,0.001400
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,registerGet,0.000798,26.456,1429,0.000000,0.001290
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,listClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,setAdd,0.001843,25.802,1393,0.000000,0.002675
micro,60,3,true,1,RC,1,crdv-async,100,100000,1000,1,1,all,async,mapRmv,0.001844,26.024,1405,0.000000,0.002593
