benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,operation,rt,tps,ct,ar,rtP95
micro,60,3,true,1,RC,1,electric,100,100000,mapGet,0.000864,60.004,3240,0.000000,0.001380
micro,60,3,true,1,RC,1,electric,100,100000,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,1,RC,1,electric,100,100000,setGet,0.000878,60.443,3264,0.000000,0.001528
micro,60,3,true,1,RC,1,electric,100,100000,setRmv,0.002494,60.362,3260,0.000000,0.003722
micro,60,3,true,1,RC,1,electric,100,100000,mapRmv,0.002351,59.424,3209,0.000000,0.003341
micro,60,3,true,1,RC,1,electric,100,100000,mapValue,0.000726,60.301,3256,0.000000,0.001146
micro,60,3,true,1,RC,1,electric,100,100000,total,0.001520,659.530,35616,0.000000,0.003265
micro,60,3,true,1,RC,1,electric,100,100000,mapContains,0.000671,59.825,3231,0.000000,0.000994
micro,60,3,true,1,RC,1,electric,100,100000,registerSet,0.001933,59.862,3233,0.000000,0.002533
micro,60,3,true,1,RC,1,electric,100,100000,setContains,0.000784,59.227,3198,0.000000,0.001237
micro,60,3,true,1,RC,1,electric,100,100000,registerGet,0.000590,60.801,3283,0.000000,0.000833
micro,60,3,true,1,RC,1,electric,100,100000,setAdd,0.002808,59.955,3238,0.000000,0.004061
micro,60,3,true,1,RC,1,electric,100,100000,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,1,RC,1,electric,100,100000,mapAdd,0.002643,59.325,3204,0.000000,0.003704
