benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,operation,rt,tps,ct,ar,rtP95
micro,60,3,true,1,RC,1,native,100,100000,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,1,RC,1,native,100,100000,listClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,1,RC,1,native,100,100000,mapContains,0.000538,44.073,2380,0.000000,0.000804
micro,60,3,true,1,RC,1,native,100,100000,counterGet,0.000536,44.067,2380,0.000000,0.000807
micro,60,3,true,1,RC,1,native,100,100000,listGet,0.000582,44.765,2417,0.000000,0.000853
micro,60,3,true,1,RC,1,native,100,100000,total,0.001122,889.347,48026,0.000000,0.001874
micro,60,3,true,1,RC,1,native,100,100000,setContains,0.000536,43.752,2363,0.000000,0.000799
micro,60,3,true,1,RC,1,native,100,100000,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,1,RC,1,native,100,100000,listRmv,0.001616,44.715,2415,0.000000,0.001945
micro,60,3,true,1,RC,1,native,100,100000,registerSet,0.001536,44.166,2385,0.000000,0.001884
micro,60,3,true,1,RC,1,native,100,100000,listGetAt,0.000547,45.555,2460,0.000000,0.000812
micro,60,3,true,1,RC,1,native,100,100000,mapRmv,0.001579,44.234,2389,0.000000,0.001927
micro,60,3,true,1,RC,1,native,100,100000,mapValue,0.000535,44.623,2410,0.000000,0.000803
micro,60,3,true,1,RC,1,native,100,100000,setRmv,0.001599,43.728,2361,0.000000,0.001924
micro,60,3,true,1,RC,1,native,100,100000,listAdd,0.001623,44.913,2425,0.000000,0.001970
micro,60,3,true,1,RC,1,native,100,100000,mapAdd,0.001639,44.086,2381,0.000000,0.001985
micro,60,3,true,1,RC,1,native,100,100000,mapGet,0.000599,44.789,2419,0.000000,0.000866
micro,60,3,true,1,RC,1,native,100,100000,listPrepend,0.001609,44.660,2412,0.000000,0.001956
micro,60,3,true,1,RC,1,native,100,100000,setAdd,0.001645,43.567,2353,0.000000,0.001981
micro,60,3,true,1,RC,1,native,100,100000,listAppend,0.001593,44.573,2407,0.000000,0.001939
micro,60,3,true,1,RC,1,native,100,100000,setGet,0.000570,45.228,2442,0.000000,0.000833
micro,60,3,true,1,RC,1,native,100,100000,counterDec,0.001540,43.808,2366,0.000000,0.001877
micro,60,3,true,1,RC,1,native,100,100000,counterInc,0.001538,44.363,2396,0.000000,0.001878
micro,60,3,true,1,RC,1,native,100,100000,registerGet,0.000539,45.684,2467,0.000000,0.000800
