benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,operation,rt,tps,ct,ar,rtP95
micro,60,3,true,1,RC,1,pg_crdt,100,100000,mapAdd,0.004998,16.191,874,0.000000,0.005421
micro,60,3,true,1,RC,1,pg_crdt,100,100000,mapRmv,0.004979,16.141,872,0.000000,0.005388
micro,60,3,true,1,RC,1,pg_crdt,100,100000,listPrepend,0.005528,16.320,881,0.000000,0.005974
micro,60,3,true,1,RC,1,pg_crdt,100,100000,counterGet,0.000865,16.537,893,0.000000,0.001129
micro,60,3,true,1,RC,1,pg_crdt,100,100000,setGet,0.002031,16.549,894,0.000000,0.002273
micro,60,3,true,1,RC,1,pg_crdt,100,100000,mapContains,0.001980,16.148,872,0.000000,0.002233
micro,60,3,true,1,RC,1,pg_crdt,100,100000,mapGet,0.002268,16.129,871,0.000000,0.002534
micro,60,3,true,1,RC,1,pg_crdt,100,100000,setAdd,0.005073,16.524,892,0.000000,0.005491
micro,60,3,true,1,RC,1,pg_crdt,100,100000,listAdd,0.005532,16.172,873,0.000000,0.005974
micro,60,3,true,1,RC,1,pg_crdt,100,100000,registerGet,0.000857,16.308,881,0.000000,0.001121
micro,60,3,true,1,RC,1,pg_crdt,100,100000,setContains,0.001945,16.185,874,0.000000,0.002192
micro,60,3,true,1,RC,1,pg_crdt,100,100000,mapValue,0.001982,16.790,907,0.000000,0.002225
micro,60,3,true,1,RC,1,pg_crdt,100,100000,listGet,0.002328,16.314,881,0.000000,0.002572
micro,60,3,true,1,RC,1,pg_crdt,100,100000,listAppend,0.005528,15.722,849,0.000000,0.005958
micro,60,3,true,1,RC,1,pg_crdt,100,100000,registerSet,0.002790,16.475,890,0.000000,0.003271
micro,60,3,true,1,RC,1,pg_crdt,100,100000,setRmv,0.004913,16.419,887,0.000000,0.005319
micro,60,3,true,1,RC,1,pg_crdt,100,100000,counterDec,0.002786,15.858,856,0.000000,0.003266
micro,60,3,true,1,RC,1,pg_crdt,100,100000,total,0.003225,309.725,16726,0.000000,0.005664
micro,60,3,true,1,RC,1,pg_crdt,100,100000,listGetAt,0.002268,16.709,902,0.000000,0.002516
micro,60,3,true,1,RC,1,pg_crdt,100,100000,counterInc,0.002788,16.234,877,0.000000,0.003267
