benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,mergeBatchSize,mergeDelta,mergeParallelism,readMode,writeMode,operation,rt,tps,ct,ar,rtP95
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,listGet,0.000818,34.493,1863,0.000000,0.001446
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,counterInc,0.001848,33.660,1818,0.000000,0.002291
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,listAppend,0.002034,34.117,1842,0.000000,0.002713
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,counterDec,0.001851,34.796,1879,0.000000,0.002280
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,counterGet,0.000635,34.475,1862,0.000000,0.000873
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,listRmv,0.002150,34.259,1850,0.000000,0.003033
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,mapRmv,0.002085,34.036,1838,0.000000,0.002842
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,mapGet,0.000877,34.438,1860,0.000000,0.001567
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,listAdd,0.002116,34.339,1854,0.000000,0.002998
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,listGetAt,0.000751,34.444,1860,0.000000,0.001256
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,mapValue,0.000721,35.147,1898,0.000000,0.001152
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,setRmv,0.002101,34.728,1875,0.000000,0.002897
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,listPrepend,0.002049,34.154,1844,0.000000,0.002802
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,setAdd,0.002102,34.561,1866,0.000000,0.002925
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,total,0.001453,688.634,37187,0.000000,0.002581
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,setGet,0.000869,33.617,1815,0.000000,0.001591
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,registerSet,0.001880,35.876,1937,0.000000,0.002405
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,setContains,0.000728,34.493,1863,0.000000,0.001161
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,mapAdd,0.002083,33.981,1835,0.000000,0.002867
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,mapContains,0.000725,34.314,1853,0.000000,0.001144
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,listClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,1,RC,1,crdv-sync,100,100000,1000,1,1,local,sync,registerGet,0.000649,34.709,1874,0.000000,0.000943
