benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,operation,rt,tps,ct,ar,rtP95
micro,60,3,true,1024,n/a,6,riak,1,1000000,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,n/a,6,riak,1,1000000,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,n/a,6,riak,1,1000000,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,n/a,6,riak,1,1000000,write,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,n/a,6,riak,1,1000000,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,n/a,6,riak,1,1000000,total,0.006132,166283.845,8979729,0.006907,0.013319
micro,60,3,true,1024,n/a,6,riak,1,1000000,mapValue,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,n/a,6,riak,1,1000000,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,n/a,6,riak,1,1000000,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,n/a,6,riak,1,1000000,read,0.006132,166283.845,8979729,0.006907,0.013319
micro,60,3,true,1024,n/a,6,riak,1,1000000,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,n/a,6,riak,1,1000000,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,n/a,6,riak,1,1000000,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,n/a,6,riak,1,1000000,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,n/a,6,riak,1,1000000,mapAdd,NaN,0.000,0,NaN,NaN
