benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,mergeBatchSize,mergeDelta,mergeParallelism,readMode,writeMode,operation,rt,tps,ct,ar,rtP95
micro,60,3,true,1024,RC,4,crdv-sync,1,1000000,10000,0.05,1,local,sync,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,RC,4,crdv-sync,1,1000000,10000,0.05,1,local,sync,read,0.002067,495069.302,26734259,0.000000,0.005579
micro,60,3,true,1024,RC,4,crdv-sync,1,1000000,10000,0.05,1,local,sync,mapAdd,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,RC,4,crdv-sync,1,1000000,10000,0.05,1,local,sync,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,RC,4,crdv-sync,1,1000000,10000,0.05,1,local,sync,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,RC,4,crdv-sync,1,1000000,10000,0.05,1,local,sync,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,RC,4,crdv-sync,1,1000000,10000,0.05,1,local,sync,listRmv,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,RC,4,crdv-sync,1,1000000,10000,0.05,1,local,sync,mapValue,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,RC,4,crdv-sync,1,1000000,10000,0.05,1,local,sync,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,RC,4,crdv-sync,1,1000000,10000,0.05,1,local,sync,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,RC,4,crdv-sync,1,1000000,10000,0.05,1,local,sync,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,RC,4,crdv-sync,1,1000000,10000,0.05,1,local,sync,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,RC,4,crdv-sync,1,1000000,10000,0.05,1,local,sync,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,RC,4,crdv-sync,1,1000000,10000,0.05,1,local,sync,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,RC,4,crdv-sync,1,1000000,10000,0.05,1,local,sync,listAdd,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,RC,4,crdv-sync,1,1000000,10000,0.05,1,local,sync,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,RC,4,crdv-sync,1,1000000,10000,0.05,1,local,sync,listGet,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,RC,4,crdv-sync,1,1000000,10000,0.05,1,local,sync,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,RC,4,crdv-sync,1,1000000,10000,0.05,1,local,sync,total,0.002067,495069.302,26734259,0.000000,0.005579
micro,60,3,true,1024,RC,4,crdv-sync,1,1000000,10000,0.05,1,local,sync,listClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,RC,4,crdv-sync,1,1000000,10000,0.05,1,local,sync,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,RC,4,crdv-sync,1,1000000,10000,0.05,1,local,sync,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,RC,4,crdv-sync,1,1000000,10000,0.05,1,local,sync,write,NaN,0.000,0,NaN,NaN
micro,60,3,true,1024,RC,4,crdv-sync,1,1000000,10000,0.05,1,local,sync,setClear,NaN,0.000,0,NaN,NaN
