benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,operation,rt,tps,ct,ar,rtP95
micro,60,3,false,1,RC,1,electric,1,100000,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,1,100000,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,1,100000,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,1,100000,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,1,100000,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,1,100000,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,1,100000,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,1,100000,mapAdd,0.001977,406.052,21927,0.000000,0.002392
micro,60,3,false,1,RC,1,electric,1,100000,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,1,100000,total,0.001231,813.413,43925,0.000000,0.002295
micro,60,3,false,1,RC,1,electric,1,100000,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,1,100000,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,1,100000,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,1,100000,mapValue,0.000488,407.361,21998,0.000000,0.000756
micro,60,3,false,1,RC,1,electric,2,50000,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,2,50000,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,2,50000,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,2,50000,mapValue,0.000498,395.490,21357,0.000000,0.000772
micro,60,3,false,1,RC,1,electric,2,50000,total,0.001262,790.362,42680,0.000000,0.002324
micro,60,3,false,1,RC,1,electric,2,50000,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,2,50000,mapAdd,0.002027,394.872,21323,0.000000,0.002402
micro,60,3,false,1,RC,1,electric,2,50000,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,2,50000,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,2,50000,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,2,50000,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,2,50000,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,2,50000,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,2,50000,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,4,25000,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,4,25000,total,0.001281,778.337,42031,0.000000,0.002344
micro,60,3,false,1,RC,1,electric,4,25000,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,4,25000,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,4,25000,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,4,25000,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,4,25000,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,4,25000,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,4,25000,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,4,25000,mapValue,0.000520,390.850,21106,0.000000,0.000785
micro,60,3,false,1,RC,1,electric,4,25000,mapAdd,0.002049,387.486,20925,0.000000,0.002425
micro,60,3,false,1,RC,1,electric,4,25000,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,4,25000,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,4,25000,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,8,12500,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,8,12500,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,8,12500,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,8,12500,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,8,12500,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,8,12500,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,8,12500,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,8,12500,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,8,12500,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,8,12500,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,8,12500,mapAdd,0.002031,393.086,21227,0.000000,0.002386
micro,60,3,false,1,RC,1,electric,8,12500,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,8,12500,total,0.001271,787.339,42517,0.000000,0.002303
micro,60,3,false,1,RC,1,electric,8,12500,mapValue,0.000512,394.253,21290,0.000000,0.000778
micro,60,3,false,1,RC,1,electric,16,6250,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,16,6250,total,0.001275,782.908,42278,0.000000,0.002331
micro,60,3,false,1,RC,1,electric,16,6250,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,16,6250,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,16,6250,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,16,6250,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,16,6250,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,16,6250,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,16,6250,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,16,6250,mapValue,0.000513,393.198,21233,0.000000,0.000777
micro,60,3,false,1,RC,1,electric,16,6250,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,16,6250,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,16,6250,mapAdd,0.002043,389.710,21045,0.000000,0.002409
micro,60,3,false,1,RC,1,electric,16,6250,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,32,3125,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,32,3125,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,32,3125,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,32,3125,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,32,3125,total,0.001239,804.722,43455,0.000000,0.002308
micro,60,3,false,1,RC,1,electric,32,3125,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,32,3125,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,32,3125,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,32,3125,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,32,3125,mapValue,0.000487,401.515,21682,0.000000,0.000762
micro,60,3,false,1,RC,1,electric,32,3125,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,32,3125,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,32,3125,mapAdd,0.001988,403.207,21773,0.000000,0.002397
micro,60,3,false,1,RC,1,electric,32,3125,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,64,1562,mapAdd,0.002054,387.848,20944,0.000000,0.002431
micro,60,3,false,1,RC,1,electric,64,1562,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,electric,64,1562,mapGet,NaN,0.000,0,NaN,NaN
