benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,operation,rt,tps,ct,ar,rtP95
micro,60,3,false,1,RC,1,native,1,100000,mapAdd,0.001581,477.586,25790,0.000000,0.001956
micro,60,3,false,1,RC,1,native,1,100000,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,listRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,listAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,mapValue,0.000504,480.018,25921,0.000000,0.000785
micro,60,3,false,1,RC,1,native,1,100000,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,listGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,total,0.001041,957.605,51711,0.000000,0.001872
micro,60,3,false,1,RC,1,native,1,100000,listClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,1,100000,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,2,50000,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,native,2,50000,mapGet,NaN,0.000,0,NaN,NaN
