benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,operation,rt,tps,ct,ar,rtP95
micro,60,3,false,1,RC,1,pg_crdt,1,100000,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,listGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,mapAdd,0.003083,247.878,13386,0.000000,0.003628
micro,60,3,false,1,RC,1,pg_crdt,1,100000,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,listAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,mapValue,0.000943,248.773,13434,0.000000,0.001194
micro,60,3,false,1,RC,1,pg_crdt,1,100000,total,0.002011,496.651,26820,0.000000,0.003519
micro,60,3,false,1,RC,1,pg_crdt,1,100000,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,1,100000,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,2,50000,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,2,50000,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,2,50000,mapAdd,0.003177,241.210,13026,0.000000,0.003656
micro,60,3,false,1,RC,1,pg_crdt,2,50000,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,2,50000,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,2,50000,total,0.002085,479.260,25881,0.000000,0.003557
micro,60,3,false,1,RC,1,pg_crdt,2,50000,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,2,50000,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,2,50000,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,2,50000,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,2,50000,mapValue,0.000978,238.050,12855,0.000000,0.001221
micro,60,3,false,1,RC,1,pg_crdt,2,50000,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,2,50000,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,2,50000,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,2,50000,listAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,2,50000,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,2,50000,listGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,2,50000,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,2,50000,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,2,50000,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,4,25000,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,4,25000,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,4,25000,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,4,25000,counterInc,NaN,0.000,0,NaN,NaN
