benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,operation,rt,tps,ct,ar,rtP95
micro,60,3,false,1,n/a,1,riak,1,100000,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,1,100000,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,1,100000,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,1,100000,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,1,100000,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,1,100000,total,0.002713,367.937,19869,0.000000,0.004990
micro,60,3,false,1,n/a,1,riak,1,100000,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,1,100000,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,1,100000,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,1,100000,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,1,100000,mapAdd,0.004363,184.153,9944,0.000000,0.005207
micro,60,3,false,1,n/a,1,riak,1,100000,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,1,100000,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,1,100000,mapValue,0.001060,183.783,9924,0.000000,0.001448
micro,60,3,false,1,n/a,1,riak,1,100000,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,2,50000,mapValue,0.001052,183.652,9917,0.000000,0.001425
micro,60,3,false,1,n/a,1,riak,2,50000,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,2,50000,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,2,50000,total,0.002714,367.871,19865,0.000000,0.004994
micro,60,3,false,1,n/a,1,riak,2,50000,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,2,50000,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,2,50000,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,2,50000,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,2,50000,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,2,50000,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,2,50000,mapAdd,0.004371,184.219,9948,0.000000,0.005198
micro,60,3,false,1,n/a,1,riak,2,50000,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,2,50000,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,2,50000,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,2,50000,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,4,25000,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,4,25000,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,4,25000,total,0.002721,366.941,19815,0.000000,0.004975
micro,60,3,false,1,n/a,1,riak,4,25000,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,4,25000,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,4,25000,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,4,25000,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,4,25000,mapAdd,0.004397,182.338,9846,0.000000,0.005161
micro,60,3,false,1,n/a,1,riak,4,25000,mapValue,0.001065,184.603,9969,0.000000,0.001446
micro,60,3,false,1,n/a,1,riak,4,25000,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,4,25000,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,4,25000,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,4,25000,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,4,25000,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,4,25000,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,8,12500,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,8,12500,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,8,12500,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,8,12500,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,8,12500,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,8,12500,mapAdd,0.004451,179.034,9668,0.000000,0.005162
micro,60,3,false,1,n/a,1,riak,8,12500,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,8,12500,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,8,12500,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,8,12500,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,8,12500,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,8,12500,total,0.002770,360.451,19465,0.000000,0.004998
micro,60,3,false,1,n/a,1,riak,8,12500,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,8,12500,mapValue,0.001111,181.417,9797,0.000000,0.001492
micro,60,3,false,1,n/a,1,riak,8,12500,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,16,6250,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,16,6250,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,16,6250,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,16,6250,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,16,6250,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,16,6250,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,16,6250,total,0.002835,352.231,19021,0.000000,0.005086
micro,60,3,false,1,n/a,1,riak,16,6250,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,16,6250,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,16,6250,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,16,6250,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,16,6250,mapValue,0.001140,175.365,9470,0.000000,0.001519
micro,60,3,false,1,n/a,1,riak,16,6250,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,16,6250,mapAdd,0.004515,176.865,9551,0.000000,0.005269
micro,60,3,false,1,n/a,1,riak,16,6250,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,32,3125,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,32,3125,mapAdd,0.004693,168.322,9090,0.000000,0.005600
micro,60,3,false,1,n/a,1,riak,32,3125,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,32,3125,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,32,3125,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,32,3125,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,32,3125,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,32,3125,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,32,3125,total,0.002968,336.390,18166,0.000000,0.005338
micro,60,3,false,1,n/a,1,riak,32,3125,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,32,3125,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,32,3125,mapValue,0.001241,168.069,9076,0.000000,0.001604
micro,60,3,false,1,n/a,1,riak,32,3125,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,32,3125,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,32,3125,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,64,1562,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,64,1562,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,64,1562,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,64,1562,mapValue,0.001357,159.198,8597,0.000000,0.001721
micro,60,3,false,1,n/a,1,riak,64,1562,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,64,1562,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,64,1562,mapAdd,0.004925,158.877,8580,0.000000,0.005803
micro,60,3,false,1,n/a,1,riak,64,1562,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,64,1562,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,64,1562,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,64,1562,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,64,1562,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,64,1562,total,0.003139,318.074,17177,0.000000,0.005557
micro,60,3,false,1,n/a,1,riak,64,1562,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,64,1562,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,128,781,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,128,781,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,128,781,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,128,781,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,128,781,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,128,781,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,128,781,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,128,781,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,n/a,1,riak,128,781,mapAdd,0.005339,144.102,7782,0.000000,0.006178
micro,60,3,false,1,n/a,1,riak,128,781,counterGet,NaN,0.000,0,NaN,NaN
