benchmark,time,runs,noReload,workers,isolation,sites,engine,items,mergeBatchSize,mergeDelta,mergeParallelism,nestingLevel,readMode,writeMode,operation,rt,tps,ct,ar,rtP95
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,1,local,sync,explain,NaN,0.000,0,1.000000,NaN
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,1,local,sync,total,0.000419,1025.413,55373,0.499272,0.000729
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,1,local,sync,read,0.000419,1025.413,55373,0.000000,0.000729
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,2,local,sync,read,0.000558,696.364,37604,0.000000,0.000836
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,2,local,sync,explain,NaN,0.000,0,1.000000,NaN
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,2,local,sync,total,0.000558,696.364,37604,0.497301,0.000836
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,3,local,sync,read,0.000556,623.815,33686,0.000000,0.000834
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,3,local,sync,explain,NaN,0.000,0,1.000000,NaN
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,3,local,sync,total,0.000556,623.815,33686,0.501288,0.000834
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,4,local,sync,read,0.000591,540.170,29169,0.000000,0.000868
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,4,local,sync,explain,NaN,0.000,0,1.000000,NaN
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,4,local,sync,total,0.000591,540.170,29169,0.500023,0.000868
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,5,local,sync,explain,NaN,0.000,0,1.000000,NaN
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,5,local,sync,total,0.000624,484.484,26163,0.499859,0.000900
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,5,local,sync,read,0.000624,484.484,26163,0.000000,0.000900
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,6,local,sync,explain,NaN,0.000,0,1.000000,NaN
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,6,local,sync,total,0.000668,428.035,23114,0.501273,0.000934
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,6,local,sync,read,0.000668,428.035,23114,0.000000,0.000934
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,7,local,sync,read,0.000653,409.967,22138,0.000000,0.000928
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,7,local,sync,explain,NaN,0.000,0,1.000000,NaN
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,7,local,sync,total,0.000653,409.967,22138,0.500081,0.000928
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,8,local,sync,total,0.000662,378.098,20418,0.499291,0.000939
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,8,local,sync,explain,NaN,0.000,0,1.000000,NaN
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,8,local,sync,read,0.000662,378.098,20418,0.000000,0.000939
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,9,local,sync,read,0.000736,324.751,17537,0.000000,0.000990
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,9,local,sync,explain,NaN,0.000,0,1.000000,NaN
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,9,local,sync,total,0.000736,324.751,17537,0.501354,0.000990
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,10,local,sync,total,0.000729,303.571,16393,0.499833,0.001000
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,10,local,sync,read,0.000729,303.571,16393,0.000000,0.001000
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,10,local,sync,explain,NaN,0.000,0,1.000000,NaN
