benchmark,time,runs,noReload,workers,isolation,sites,engine,items,mergeBatchSize,mergeDelta,mergeParallelism,nestingLevel,readMode,writeMode,execP95,execTime,planP95,planSize,planTime,totalP95,totalTime,rt,tps,ct,ar,rtP95
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,1,local,sync,0.000055,0.000045,0.000145,12,0.000121,0.000143,0.000166,0.000419,1025.413,55373,0.499272,0.000729
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,2,local,sync,0.000082,0.000067,0.000265,30,0.000221,0.000259,0.000288,0.000558,696.364,37604,0.497301,0.000836
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,3,local,sync,0.000097,0.000082,0.000374,48,0.000317,0.000361,0.000399,0.000556,623.815,33686,0.501288,0.000834
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,4,local,sync,0.000115,0.000103,0.000485,66,0.000428,0.000473,0.000531,0.000591,540.170,29169,0.500023,0.000868
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,5,local,sync,0.000135,0.000123,0.000607,84,0.000543,0.000594,0.000665,0.000624,484.484,26163,0.499859,0.000900
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,6,local,sync,0.000157,0.000140,0.000739,102,0.000671,0.000724,0.000811,0.000668,428.035,23114,0.501273,0.000934
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,7,local,sync,0.000174,0.000160,0.000896,120,0.000822,0.000879,0.000982,0.000653,409.967,22138,0.500081,0.000928
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,8,local,sync,0.000196,0.000177,0.001057,138,0.000972,0.001038,0.001148,0.000662,378.098,20418,0.499291,0.000939
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,9,local,sync,0.000221,0.000196,0.001240,156,0.001150,0.001218,0.001346,0.000736,324.751,17537,0.501354,0.000990
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,10,local,sync,0.000240,0.000214,0.001421,174,0.001329,0.001403,0.001543,0.000729,303.571,16393,0.499833,0.001000
