benchmark,time,runs,noReload,workers,isolation,sites,items,ops,schema,simulatedSites,size,rt,tps,ct,ar,rtP95
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,1,218144768,0.001259,806.322,43542,0.000000,0.003434
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,2,303652864,0.001452,687.032,37101,0.000000,0.003758
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,4,448512000,0.001488,673.693,36380,0.000000,0.003603
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,6,603840512,0.001726,581.707,31413,0.000000,0.003522
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,8,744013824,0.001944,513.904,27752,0.000000,0.003629
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,10,896073728,0.001976,505.942,27322,0.000000,0.003374
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,12,1034641408,0.002649,377.596,20391,0.000000,0.003876
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,14,1189707776,0.002912,343.504,18550,0.000000,0.004854
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,16,1330929664,0.003168,316.759,17106,0.000000,0.005862
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,1,109207552,0.001423,703.131,37969,0.000000,0.003802
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,2,123674624,0.001495,667.542,36048,0.000000,0.003933
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,4,156721152,0.001531,652.422,35232,0.000000,0.003986
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,6,181739520,0.001552,645.042,34833,0.000000,0.003934
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,8,212779008,0.001496,667.714,36057,0.000000,0.003776
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,10,248463360,0.001370,728.739,39352,0.000000,0.003585
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,12,268804096,0.001615,621.448,33559,0.000000,0.003807
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,14,299802624,0.001587,629.916,34016,0.000000,0.003864
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,16,332832768,0.001681,594.831,32122,0.000000,0.003831
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,1,109174784,0.001467,681.461,36799,0.000000,0.003843
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,2,132399104,0.001426,699.901,37796,0.000000,0.003721
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,4,177422336,0.001497,666.519,35994,0.000000,0.003853
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,6,223592448,0.001503,665.566,35942,0.000000,0.003812
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,8,268935168,0.001553,643.491,34749,0.000000,0.003845
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,10,331235328,0.001427,703.494,37990,0.000000,0.003629
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,12,366616576,0.001692,590.395,31882,0.000000,0.003950
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,14,422690816,0.001645,607.681,32815,0.000000,0.003717
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,16,473669632,0.001890,528.544,28542,0.000000,0.004035
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,1,238411776,0.001491,674.359,36417,0.000000,0.003833
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,2,299606016,0.001530,652.483,35235,0.000000,0.003872
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,4,408846336,0.001576,633.168,34192,0.000000,0.003897
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,6,533168128,0.001576,633.133,34190,0.000000,0.003860
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,8,651337728,0.001600,623.810,33686,0.000000,0.003835
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,10,782516224,0.001602,622.959,33641,0.000000,0.003803
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,12,909582336,0.001620,618.191,33383,0.000000,0.003784
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,14,1002405888,0.001538,653.034,35265,0.000000,0.003582
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,16,1109925888,0.001681,595.000,32131,0.000000,0.003777
