benchmark,time,runs,noReload,workers,isolation,sites,items,ops,schema,simulatedSites,operation,rt,tps,ct,ar,rtP95
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,1,total,0.001259,806.322,43542,0.000000,0.003434
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,1,readKey,0.000513,268.323,14490,0.000000,0.000811
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,1,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,1,write,0.002703,270.749,14621,0.000000,0.003769
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,1,currTime,0.000546,267.249,14432,0.000000,0.000835
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,2,currTime,0.000677,229.939,12417,0.000000,0.000966
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,2,readKey,0.000669,228.198,12323,0.000000,0.000984
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,2,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,2,total,0.001452,687.032,37101,0.000000,0.003758
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,2,write,0.003011,228.896,12361,0.000000,0.004081
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,4,total,0.001488,673.693,36380,0.000000,0.003603
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,4,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,4,write,0.002943,224.992,12150,0.000000,0.003875
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,4,currTime,0.000780,223.035,12044,0.000000,0.001040
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,4,readKey,0.000736,225.665,12186,0.000000,0.001013
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,6,write,0.002890,193.452,10447,0.000000,0.003854
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,6,total,0.001726,581.707,31413,0.000000,0.003522
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,6,currTime,0.000878,193.865,10469,0.000000,0.001147
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,6,readKey,0.001411,194.390,10497,0.000000,0.001727
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,6,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,8,total,0.001944,513.904,27752,0.000000,0.003629
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,8,readKey,0.001880,171.408,9256,0.000000,0.002184
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,8,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,8,write,0.002959,170.736,9220,0.000000,0.003933
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,8,currTime,0.000998,171.760,9275,0.000000,0.001269
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,10,readKey,0.002071,168.715,9111,0.000000,0.002355
timestampEncoding,60,3,true,1,RC,1,1000,1000,row,10,readAll,NaN,0.000,0,NaN,NaN
